"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Feb 06 05:26:17 GMT 2025","Thu Feb 06 05:27:31 GMT 2025","73835","","","","","","BB Evergreen nightly -- @1.2 ",""
"passed","Thu Feb 06 05:28:43 GMT 2025","Thu Feb 06 05:29:30 GMT 2025","47161","","","","","","Restore Sleep Supplement nightly -- @1.1 ",""
"passed","Thu Feb 06 05:32:45 GMT 2025","Thu Feb 06 05:35:18 GMT 2025","152127","","","","","","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ",""
"failed","Thu Feb 06 05:21:49 GMT 2025","Thu Feb 06 05:22:19 GMT 2025","29610","","","","","","Unbroken live nightly -- @1.2 ",""
"passed","Thu Feb 06 05:23:33 GMT 2025","Thu Feb 06 05:24:19 GMT 2025","45209","","","","","","BB Live nightly -- @1.1 ",""
"passed","Thu Feb 06 05:29:30 GMT 2025","Thu Feb 06 05:31:54 GMT 2025","144554","","","","","","Restore Sleep Supplement nightly -- @1.2 ",""
"passed","Thu Feb 06 05:22:48 GMT 2025","Thu Feb 06 05:23:33 GMT 2025","44999","","","","","","Unbroken evergreen funnel -- @1.2 ",""
"passed","Thu Feb 06 05:35:18 GMT 2025","Thu Feb 06 05:36:01 GMT 2025","43462","","","","","","Restore Gut Supplement nightly -- @1.1 ",""
"passed","Thu Feb 06 05:27:59 GMT 2025","Thu Feb 06 05:28:43 GMT 2025","43501","","","","","","Ageless Evergreen nightly -- @1.2 ",""
"failed","Thu Feb 06 05:27:31 GMT 2025","Thu Feb 06 05:27:59 GMT 2025","28193","","","","","","Ageless Evergreen nightly -- @1.1 ",""
"passed","Thu Feb 06 05:25:32 GMT 2025","Thu Feb 06 05:26:17 GMT 2025","45683","","","","","","BB Evergreen nightly -- @1.1 ",""
"passed","Thu Feb 06 05:21:04 GMT 2025","Thu Feb 06 05:21:49 GMT 2025","45754","","","","","","Unbroken live nightly -- @1.1 ",""
"failed","Thu Feb 06 05:24:19 GMT 2025","Thu Feb 06 05:25:32 GMT 2025","72966","","","","","","BB Live nightly -- @1.2 ",""
"passed","Thu Feb 06 05:36:01 GMT 2025","Thu Feb 06 05:38:20 GMT 2025","139232","","","","","","Restore Gut Supplement nightly -- @1.2 ",""
"passed","Thu Feb 06 05:31:54 GMT 2025","Thu Feb 06 05:32:45 GMT 2025","50930","","","","","","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ",""
"failed","Thu Feb 06 05:22:19 GMT 2025","Thu Feb 06 05:22:48 GMT 2025","29254","","","","","","Unbroken evergreen funnel -- @1.1 ",""
