"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","146831","Restore Sleep - Buy 2, Get 3 Free bottles Supplement funnel -- @1.3 ","","2026-04-20","passed","2026-04-20","","","",""
"","146901","Restore Collagen Supplement funnel -- @1.1 ","","2026-04-20","passed","2026-04-20","","","",""
"","145732","Restore Collagen Supplement funnel -- @1.4 ","","2026-04-20","passed","2026-04-20","","","",""
"","146226","Restore Collagen Supplement funnel -- @1.3 ","","2026-04-20","passed","2026-04-20","","","",""
"","147332","Restore Gut Supplement funnel -- @1.2 ","","2026-04-20","passed","2026-04-20","","","",""
"","147904","Restore Vision Supplement funnel -- @1.2 ","","2026-04-20","passed","2026-04-20","","","",""
"","111205","Restore Detox Supplement funnel -- @1.4 ","","2026-04-20","passed","2026-04-20","","","",""
"","32041","Restore Vision Supplement funnel -- @1.1 ","","2026-04-20","passed","2026-04-20","","","",""
"","148953","Restore Vision - Buy 2, Get 3 Free bottles Supplement funnel -- @1.4 ","","2026-04-20","passed","2026-04-20","","","",""
"","145382","Restore Gut - Buy 2, Get 3 Free bottles Supplement funnel -- @1.3 ","","2026-04-20","passed","2026-04-20","","","",""
"","148413","Restore Gut Supplement funnel -- @1.4 ","","2026-04-20","passed","2026-04-20","","","",""
"","149865","Restore Vision Supplement funnel -- @1.3 ","","2026-04-20","passed","2026-04-20","","","",""
"","145991","Restore Gut Supplement funnel -- @1.3 ","","2026-04-20","passed","2026-04-20","","","",""
"","146858","Restore Sleep Supplement funnel -- @1.4 ","","2026-04-20","passed","2026-04-20","","","",""
"","148105","Restore Sleep Supplement funnel -- @1.3 ","","2026-04-20","passed","2026-04-20","","","",""
"","145227","Restore Vision - Buy 2, Get 3 Free bottles Supplement funnel -- @1.3 ","","2026-04-20","passed","2026-04-20","","","",""
"","144381","Restore Gut - Buy 2, Get 3 Free bottles Supplement funnel -- @1.4 ","","2026-04-20","passed","2026-04-20","","","",""
"","145271","Restore Sleep Supplement funnel -- @1.2 ","","2026-04-20","passed","2026-04-20","","","",""
"","47316","Restore Gut - Buy 2, Get 3 Free bottles Supplement funnel -- @1.1 ","","2026-04-20","passed","2026-04-20","","","",""
"","46241","Restore Gut Supplement funnel -- @1.1 ","","2026-04-20","passed","2026-04-20","","","",""
"","110232","Restore Detox Supplement funnel -- @1.2 ","","2026-04-20","passed","2026-04-20","","","",""
"","30947","Restore Collagen Supplement funnel -- @1.2 ","","2026-04-20","passed","2026-04-20","","","",""
"","109251","Restore Detox Supplement funnel -- @1.3 ","","2026-04-20","passed","2026-04-20","","","",""
"","33796","Restore Sleep Supplement funnel -- @1.1 ","","2026-04-20","passed","2026-04-20","","","",""
"","145574","Restore Gut - Buy 2, Get 3 Free bottles Supplement funnel -- @1.2 ","","2026-04-20","passed","2026-04-20","","","",""
"","144014","Restore Vision - Buy 2, Get 3 Free bottles Supplement funnel -- @1.2 ","","2026-04-20","passed","2026-04-20","","","",""
"","30400","Restore Sleep - Buy 2, Get 3 Free bottles Supplement funnel -- @1.1 ","","2026-04-20","passed","2026-04-20","","","",""
"","146304","Restore Sleep - Buy 2, Get 3 Free bottles Supplement funnel -- @1.4 ","","2026-04-20","passed","2026-04-20","","","",""
"","147053","Restore Vision Supplement funnel -- @1.4 ","","2026-04-20","passed","2026-04-20","","","",""
"","146435","Restore Sleep - Buy 2, Get 3 Free bottles Supplement funnel -- @1.2 ","","2026-04-20","passed","2026-04-20","","","",""
"","30935","Restore Vision - Buy 2, Get 3 Free bottles Supplement funnel -- @1.1 ","","2026-04-20","passed","2026-04-20","","","",""
"","29077","Restore Detox Supplement funnel -- @1.1 ","","2026-04-20","passed","2026-04-20","","","",""
