"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30999","Restore Gut - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","2026-05-16","passed","2026-05-16","","","",""
"","150898","Restore Vision Supplement nightly -- @1.2 ","","2026-05-16","passed","2026-05-16","","","",""
"","33480","Restore Sleep Supplement nightly -- @1.1 ","","2026-05-16","passed","2026-05-16","","","",""
"","144878","Restore Vision - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","2026-05-16","passed","2026-05-16","","","",""
"","31188","Restore Collagen Supplement nightly -- @1.2 ","","2026-05-16","passed","2026-05-16","","","",""
"","150111","Restore Sleep Supplement nightly -- @1.2 ","","2026-05-16","passed","2026-05-16","","","",""
"","110505","Restore Detox Supplement nightly -- @1.2 ","","2026-05-16","passed","2026-05-16","","","",""
"","31386","Restore Vision Supplement nightly -- @1.1 ","","2026-05-16","passed","2026-05-16","","","",""
"","27723","Restore Detox Supplement nightly -- @1.1 ","","2026-05-16","passed","2026-05-16","","","",""
"","147298","Restore Gut Supplement nightly -- @1.2 ","","2026-05-16","passed","2026-05-16","","","",""
"","31221","Restore Gut Supplement nightly -- @1.1 ","","2026-05-16","passed","2026-05-16","","","",""
"","33283","Restore Vision - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","2026-05-16","passed","2026-05-16","","","",""
"","146675","Restore Gut - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","2026-05-16","passed","2026-05-16","","","",""
"","31565","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","2026-05-16","passed","2026-05-16","","","",""
"","148089","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","2026-05-16","passed","2026-05-16","","","",""
"","145511","Restore Collagen Supplement nightly -- @1.1 ","","2026-05-16","passed","2026-05-16","","","",""
