"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44069","Restore Sleep Supplement nightly -- @1.1 ","","2026-09-26","passed","2026-09-26","","","",""
"","171882","Restore Sleep Supplement nightly -- @1.2 ","","2026-09-26","passed","2026-09-26","","","",""
"","169897","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","2026-09-26","passed","2026-09-26","","","",""
"","137522","Restore Collagen Supplement nightly -- @1.2 ","","2026-09-26","broken","2026-09-26","","","",""
"","136405","Restore Detox Supplement nightly -- @1.2 ","","2026-09-26","passed","2026-09-26","","","",""
"","42386","Restore Vision Supplement nightly -- @1.1 ","","2026-09-26","passed","2026-09-26","","","",""
"","42697","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","2026-09-26","passed","2026-09-26","","","",""
"","56911","Restore Gut - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","2026-09-26","passed","2026-09-26","","","",""
"","168567","Restore Gut - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","2026-09-26","passed","2026-09-26","","","",""
"","169165","Restore Gut Supplement nightly -- @1.2 ","","2026-09-26","passed","2026-09-26","","","",""
"","167645","Restore Vision - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","2026-09-26","passed","2026-09-26","","","",""
"","37799","Restore Detox Supplement nightly -- @1.1 ","","2026-09-26","passed","2026-09-26","","","",""
"","169117","Restore Vision Supplement nightly -- @1.2 ","","2026-09-26","passed","2026-09-26","","","",""
"","39833","Restore Vision - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","2026-09-26","passed","2026-09-26","","","",""
"","41825","Restore Gut Supplement nightly -- @1.1 ","","2026-09-26","passed","2026-09-26","","","",""
"","163953","Restore Collagen Supplement nightly -- @1.1 ","","2026-09-26","passed","2026-09-26","","","",""
