"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53360","Restore Vision Supplement nightly -- @1.1 ","","Sat Dec 06 07:33:00 UTC 2025","passed","Sat Dec 06 07:33:53 UTC 2025","","","",""
"","52219","Restore Vision - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","Sat Dec 06 07:39:04 UTC 2025","passed","Sat Dec 06 07:39:56 UTC 2025","","","",""
"","53764","Restore Sleep Supplement nightly -- @1.1 ","","Sat Dec 06 07:19:32 UTC 2025","passed","Sat Dec 06 07:20:25 UTC 2025","","","",""
"","147114","Restore Vision - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","Sat Dec 06 07:39:56 UTC 2025","passed","Sat Dec 06 07:42:24 UTC 2025","","","",""
"","49772","Restore Detox Supplement nightly -- @1.1 ","","Sat Dec 06 07:36:20 UTC 2025","passed","Sat Dec 06 07:37:09 UTC 2025","","","",""
"","54400","Restore Gut - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","Sat Dec 06 07:29:38 UTC 2025","passed","Sat Dec 06 07:30:32 UTC 2025","","","",""
"","53352","Restore Gut Supplement nightly -- @1.1 ","","Sat Dec 06 07:26:19 UTC 2025","passed","Sat Dec 06 07:27:12 UTC 2025","","","",""
"","114681","Restore Detox Supplement nightly -- @1.2 ","","Sat Dec 06 07:37:09 UTC 2025","passed","Sat Dec 06 07:39:04 UTC 2025","","","",""
"","147282","Restore Gut - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","Sat Dec 06 07:30:32 UTC 2025","passed","Sat Dec 06 07:33:00 UTC 2025","","","",""
"","146829","Restore Vision Supplement nightly -- @1.2 ","","Sat Dec 06 07:33:53 UTC 2025","passed","Sat Dec 06 07:36:20 UTC 2025","","","",""
"","52489","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","Sat Dec 06 07:22:57 UTC 2025","passed","Sat Dec 06 07:23:49 UTC 2025","","","",""
"","151106","Restore Sleep Supplement nightly -- @1.2 ","","Sat Dec 06 07:20:25 UTC 2025","passed","Sat Dec 06 07:22:57 UTC 2025","","","",""
"","145866","Restore Gut Supplement nightly -- @1.2 ","","Sat Dec 06 07:27:12 UTC 2025","passed","Sat Dec 06 07:29:38 UTC 2025","","","",""
"","149578","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","Sat Dec 06 07:23:49 UTC 2025","passed","Sat Dec 06 07:26:19 UTC 2025","","","",""
