"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31953","Restore Collagen Supplement nightly -- @1.2 ","","2026-05-02","passed","2026-05-02","","","",""
"","147727","Restore Vision - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","2026-05-02","passed","2026-05-02","","","",""
"","149948","Restore Gut - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","2026-05-02","passed","2026-05-02","","","",""
"","148489","Restore Vision Supplement nightly -- @1.2 ","","2026-05-02","passed","2026-05-02","","","",""
"","34662","Restore Vision Supplement nightly -- @1.1 ","","2026-05-02","passed","2026-05-02","","","",""
"","32700","Restore Vision - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","2026-05-02","passed","2026-05-02","","","",""
"","33197","Restore Gut - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","2026-05-02","passed","2026-05-02","","","",""
"","152495","Restore Sleep Supplement nightly -- @1.2 ","","2026-05-02","passed","2026-05-02","","","",""
"","113815","Restore Detox Supplement nightly -- @1.2 ","","2026-05-02","passed","2026-05-02","","","",""
"","148001","Restore Gut Supplement nightly -- @1.2 ","","2026-05-02","passed","2026-05-02","","","",""
"","34587","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","2026-05-02","passed","2026-05-02","","","",""
"","32966","Restore Gut Supplement nightly -- @1.1 ","","2026-05-02","passed","2026-05-02","","","",""
"","147460","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","2026-05-02","passed","2026-05-02","","","",""
"","30310","Restore Detox Supplement nightly -- @1.1 ","","2026-05-02","passed","2026-05-02","","","",""
"","149472","Restore Collagen Supplement nightly -- @1.1 ","","2026-05-02","passed","2026-05-02","","","",""
"","34352","Restore Sleep Supplement nightly -- @1.1 ","","2026-05-02","passed","2026-05-02","","","",""
