"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","111713","Restore Detox Supplement nightly -- @1.2 ","","Sat Nov 22 09:32:29 UTC 2025","passed","Sat Nov 22 09:34:21 UTC 2025","","","",""
"","52188","Restore Vision - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","Sat Nov 22 09:34:21 UTC 2025","passed","Sat Nov 22 09:35:13 UTC 2025","","","",""
"","146553","Restore Gut - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","Sat Nov 22 09:25:54 UTC 2025","passed","Sat Nov 22 09:28:21 UTC 2025","","","",""
"","146359","Restore Vision Supplement nightly -- @1.2 ","","Sat Nov 22 09:29:13 UTC 2025","passed","Sat Nov 22 09:31:39 UTC 2025","","","",""
"","52206","Restore Vision Supplement nightly -- @1.1 ","","Sat Nov 22 09:28:21 UTC 2025","passed","Sat Nov 22 09:29:13 UTC 2025","","","",""
"","55176","Restore Sleep Supplement nightly -- @1.1 ","","Sat Nov 22 09:15:03 UTC 2025","passed","Sat Nov 22 09:15:59 UTC 2025","","","",""
"","147083","Restore Vision - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","Sat Nov 22 09:35:13 UTC 2025","passed","Sat Nov 22 09:37:40 UTC 2025","","","",""
"","144513","Restore Gut Supplement nightly -- @1.2 ","","Sat Nov 22 09:22:36 UTC 2025","passed","Sat Nov 22 09:25:01 UTC 2025","","","",""
"","53239","Restore Gut - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","Sat Nov 22 09:25:01 UTC 2025","passed","Sat Nov 22 09:25:54 UTC 2025","","","",""
"","147349","Restore Sleep Supplement nightly -- @1.2 ","","Sat Nov 22 09:15:59 UTC 2025","passed","Sat Nov 22 09:18:26 UTC 2025","","","",""
"","51742","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","Sat Nov 22 09:18:26 UTC 2025","passed","Sat Nov 22 09:19:18 UTC 2025","","","",""
"","51481","Restore Gut Supplement nightly -- @1.1 ","","Sat Nov 22 09:21:45 UTC 2025","passed","Sat Nov 22 09:22:36 UTC 2025","","","",""
"","147076","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","Sat Nov 22 09:19:18 UTC 2025","passed","Sat Nov 22 09:21:45 UTC 2025","","","",""
"","49738","Restore Detox Supplement nightly -- @1.1 ","","Sat Nov 22 09:31:39 UTC 2025","passed","Sat Nov 22 09:32:29 UTC 2025","","","",""
