"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34941","Restore Gut - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","2026-02-08","passed","2026-02-08","","","",""
"","33121","Restore Detox Supplement nightly -- @1.1 ","","2026-02-08","passed","2026-02-08","","","",""
"","150429","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","2026-02-08","passed","2026-02-08","","","",""
"","150010","Restore Vision Supplement nightly -- @1.2 ","","2026-02-08","passed","2026-02-08","","","",""
"","152866","Restore Sleep Supplement nightly -- @1.2 ","","2026-02-08","passed","2026-02-08","","","",""
"","39994","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","2026-02-08","passed","2026-02-08","","","",""
"","41183","Restore Sleep Supplement nightly -- @1.1 ","","2026-02-08","passed","2026-02-08","","","",""
"","115515","Restore Detox Supplement nightly -- @1.2 ","","2026-02-08","passed","2026-02-08","","","",""
"","149540","Restore Gut - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","2026-02-08","passed","2026-02-08","","","",""
"","36656","Restore Vision Supplement nightly -- @1.1 ","","2026-02-08","passed","2026-02-08","","","",""
"","50508","Restore Gut Supplement nightly -- @1.1 ","","2026-02-08","passed","2026-02-08","","","",""
"","145131","Restore Gut Supplement nightly -- @1.2 ","","2026-02-08","failed","2026-02-08","","","",""
"","149053","Restore Vision - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","2026-02-08","passed","2026-02-08","","","",""
"","35807","Restore Vision - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","2026-02-08","passed","2026-02-08","","","",""
