"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","172163","Restore Gut Supplement nightly -- @1.2 ","","2026-08-02","passed","2026-08-02","","","",""
"","135175","Restore Detox Supplement nightly -- @1.2 ","","2026-08-02","passed","2026-08-02","","","",""
"","167751","Restore Vision Supplement nightly -- @1.2 ","","2026-08-02","passed","2026-08-02","","","",""
"","42886","Restore Sleep Supplement nightly -- @1.1 ","","2026-08-02","passed","2026-08-02","","","",""
"","41990","Restore Gut Supplement nightly -- @1.1 ","","2026-08-02","passed","2026-08-02","","","",""
"","42350","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","2026-08-02","passed","2026-08-02","","","",""
"","171050","Restore Sleep Supplement nightly -- @1.2 ","","2026-08-02","passed","2026-08-02","","","",""
"","43163","Restore Vision Supplement nightly -- @1.1 ","","2026-08-02","passed","2026-08-02","","","",""
"","39439","Restore Collagen Supplement nightly -- @1.2 ","","2026-08-02","passed","2026-08-02","","","",""
"","41661","Restore Gut - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","2026-08-02","passed","2026-08-02","","","",""
"","39226","Restore Vision - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","2026-08-02","passed","2026-08-02","","","",""
"","171259","Restore Gut - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","2026-08-02","passed","2026-08-02","","","",""
"","169054","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","2026-08-02","passed","2026-08-02","","","",""
"","38329","Restore Detox Supplement nightly -- @1.1 ","","2026-08-02","passed","2026-08-02","","","",""
"","167338","Restore Vision - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","2026-08-02","passed","2026-08-02","","","",""
"","166856","Restore Collagen Supplement nightly -- @1.1 ","","2026-08-02","passed","2026-08-02","","","",""
