"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","140837","Restore Gut Supplement nightly -- @1.2 ","","Sun Oct 26 09:30:29 UTC 2025","passed","Sun Oct 26 09:32:50 UTC 2025","","","",""
"","110778","Restore Detox Supplement nightly -- @1.2 ","","Sun Oct 26 09:39:15 UTC 2025","passed","Sun Oct 26 09:41:06 UTC 2025","","","",""
"","137787","Restore Vision Supplement nightly -- @1.2 ","","Sun Oct 26 09:36:23 UTC 2025","passed","Sun Oct 26 09:38:40 UTC 2025","","","",""
"","38507","Restore Vision Supplement nightly -- @1.1 ","","Sun Oct 26 09:35:44 UTC 2025","passed","Sun Oct 26 09:36:23 UTC 2025","","","",""
"","70535","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","Sun Oct 26 09:26:24 UTC 2025","failed","Sun Oct 26 09:27:35 UTC 2025","","","",""
"","35084","Restore Detox Supplement nightly -- @1.1 ","","Sun Oct 26 09:38:40 UTC 2025","passed","Sun Oct 26 09:39:15 UTC 2025","","","",""
"","140911","Restore Vision - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","Sun Oct 26 09:41:52 UTC 2025","passed","Sun Oct 26 09:44:13 UTC 2025","","","",""
"","50869","Restore Sleep Supplement nightly -- @1.1 ","","Sun Oct 26 09:23:13 UTC 2025","passed","Sun Oct 26 09:24:03 UTC 2025","","","",""
"","37093","Restore Gut - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","Sun Oct 26 09:32:50 UTC 2025","passed","Sun Oct 26 09:33:27 UTC 2025","","","",""
"","140716","Restore Sleep Supplement nightly -- @1.2 ","","Sun Oct 26 09:24:03 UTC 2025","passed","Sun Oct 26 09:26:24 UTC 2025","","","",""
"","137048","Restore Gut - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","Sun Oct 26 09:33:27 UTC 2025","passed","Sun Oct 26 09:35:44 UTC 2025","","","",""
"","45581","Restore Vision - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","Sun Oct 26 09:41:06 UTC 2025","passed","Sun Oct 26 09:41:52 UTC 2025","","","",""
"","136879","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","Sun Oct 26 09:27:35 UTC 2025","passed","Sun Oct 26 09:29:52 UTC 2025","","","",""
"","37509","Restore Gut Supplement nightly -- @1.1 ","","Sun Oct 26 09:29:52 UTC 2025","passed","Sun Oct 26 09:30:29 UTC 2025","","","",""
