"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46605","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","2026-06-28","passed","2026-06-28","","","",""
"","179600","Restore Gut Supplement nightly -- @1.2 ","","2026-06-28","passed","2026-06-28","","","",""
"","178738","Restore Gut - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","2026-06-28","passed","2026-06-28","","","",""
"","142335","Restore Detox Supplement nightly -- @1.2 ","","2026-06-28","passed","2026-06-28","","","",""
"","179527","Restore Vision Supplement nightly -- @1.2 ","","2026-06-28","passed","2026-06-28","","","",""
"","175184","Restore Vision - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","2026-06-28","passed","2026-06-28","","","",""
"","49658","Restore Vision Supplement nightly -- @1.1 ","","2026-06-28","passed","2026-06-28","","","",""
"","48955","Restore Sleep Supplement nightly -- @1.1 ","","2026-06-28","passed","2026-06-28","","","",""
"","41948","Restore Detox Supplement nightly -- @1.1 ","","2026-06-28","passed","2026-06-28","","","",""
"","179305","Restore Sleep Supplement nightly -- @1.2 ","","2026-06-28","passed","2026-06-28","","","",""
"","47262","Restore Gut Supplement nightly -- @1.1 ","","2026-06-28","passed","2026-06-28","","","",""
"","177517","Restore Sleep - Buy 2, Get 3 Free bottles Supplement nightly -- @1.2 ","","2026-06-28","passed","2026-06-28","","","",""
"","41916","Restore Vision - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","2026-06-28","passed","2026-06-28","","","",""
"","44009","Restore Collagen Supplement nightly -- @1.2 ","","2026-06-28","passed","2026-06-28","","","",""
"","174056","Restore Collagen Supplement nightly -- @1.1 ","","2026-06-28","passed","2026-06-28","","","",""
"","60694","Restore Gut - Buy 2, Get 3 Free bottles Supplement nightly -- @1.1 ","","2026-06-28","passed","2026-06-28","","","",""
