"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","138200","Unbroken evergreen funnel -- @1.18 ","","2026-03-06","passed","2026-03-06","","","",""
"","68822","Unbroken evergreen funnel -- @1.11 ","","2026-03-06","passed","2026-03-06","","","",""
"","138239","Unbroken evergreen funnel -- @1.21 ","","2026-03-06","passed","2026-03-06","","","",""
"","180830","Unbroken evergreen funnel -- @1.1 ","","2026-03-06","passed","2026-03-06","","","",""
"","169684","Unbroken evergreen funnel -- @1.13 ","","2026-03-06","passed","2026-03-06","","","",""
"","104653","Unbroken evergreen funnel -- @1.2 ","","2026-03-06","passed","2026-03-06","","","",""
"","146751","Unbroken evergreen funnel -- @1.7 ","","2026-03-06","passed","2026-03-06","","","",""
"","140722","Unbroken evergreen funnel -- @1.4 ","","2026-03-06","passed","2026-03-06","","","",""
"","168980","Unbroken evergreen funnel -- @1.16 ","","2026-03-06","passed","2026-03-06","","","",""
"","149225","Unbroken evergreen funnel -- @1.5 ","","2026-03-06","passed","2026-03-06","","","",""
"","152136","Unbroken evergreen funnel -- @1.20 ","","2026-03-06","passed","2026-03-06","","","",""
"","207480","Unbroken evergreen funnel -- @1.15 ","","2026-03-06","passed","2026-03-06","","","",""
"","139608","Unbroken evergreen funnel -- @1.6 ","","2026-03-06","passed","2026-03-06","","","",""
"","139922","Unbroken evergreen funnel -- @1.12 ","","2026-03-06","failed","2026-03-06","","","",""
"","148993","Unbroken evergreen funnel -- @1.10 ","","2026-03-06","passed","2026-03-06","","","",""
"","140164","Unbroken evergreen funnel -- @1.8 ","","2026-03-06","passed","2026-03-06","","","",""
"","147014","Unbroken evergreen funnel -- @1.17 ","","2026-03-06","passed","2026-03-06","","","",""
"","118616","Unbroken evergreen funnel -- @1.3 ","","2026-03-06","passed","2026-03-06","","","",""
"","178262","Unbroken evergreen funnel -- @1.14 ","","2026-03-06","passed","2026-03-06","","","",""
"","150053","Unbroken evergreen funnel -- @1.19 ","","2026-03-06","passed","2026-03-06","","","",""
"","141789","Unbroken evergreen funnel -- @1.9 ","","2026-03-06","passed","2026-03-06","","","",""
