"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","135957","Unbroken evergreen funnel -- @1.9 ","","Thu Dec 04 19:33:10 UTC 2025","passed","Thu Dec 04 19:35:25 UTC 2025","","","",""
"","137332","Unbroken evergreen funnel -- @1.8 ","","Thu Dec 04 19:30:52 UTC 2025","passed","Thu Dec 04 19:33:10 UTC 2025","","","",""
"","178118","Unbroken evergreen funnel -- @1.14 ","","Thu Dec 04 19:44:02 UTC 2025","passed","Thu Dec 04 19:47:00 UTC 2025","","","",""
"","146896","Unbroken evergreen funnel -- @1.17 ","","Thu Dec 04 19:53:14 UTC 2025","passed","Thu Dec 04 19:55:41 UTC 2025","","","",""
"","135838","Unbroken evergreen funnel -- @1.18 ","","Thu Dec 04 19:55:41 UTC 2025","passed","Thu Dec 04 19:57:57 UTC 2025","","","",""
"","138026","Unbroken evergreen funnel -- @1.21 ","","Thu Dec 04 20:02:51 UTC 2025","passed","Thu Dec 04 20:05:09 UTC 2025","","","",""
"","168226","Unbroken evergreen funnel -- @1.16 ","","Thu Dec 04 19:50:26 UTC 2025","passed","Thu Dec 04 19:53:14 UTC 2025","","","",""
"","145987","Unbroken evergreen funnel -- @1.5 ","","Thu Dec 04 19:23:49 UTC 2025","passed","Thu Dec 04 19:26:15 UTC 2025","","","",""
"","163342","Unbroken evergreen funnel -- @1.13 ","","Thu Dec 04 19:41:18 UTC 2025","passed","Thu Dec 04 19:44:02 UTC 2025","","","",""
"","133038","Unbroken evergreen funnel -- @1.12 ","","Thu Dec 04 19:39:05 UTC 2025","passed","Thu Dec 04 19:41:18 UTC 2025","","","",""
"","147740","Unbroken evergreen funnel -- @1.20 ","","Thu Dec 04 20:00:23 UTC 2025","passed","Thu Dec 04 20:02:51 UTC 2025","","","",""
"","150249","Unbroken evergreen funnel -- @1.10 ","","Thu Dec 04 19:35:25 UTC 2025","passed","Thu Dec 04 19:37:56 UTC 2025","","","",""
"","142494","Unbroken evergreen funnel -- @1.7 ","","Thu Dec 04 19:28:30 UTC 2025","passed","Thu Dec 04 19:30:52 UTC 2025","","","",""
"","145989","Unbroken evergreen funnel -- @1.1 ","","Thu Dec 04 19:15:07 UTC 2025","failed","Thu Dec 04 19:17:33 UTC 2025","","","",""
"","136621","Unbroken evergreen funnel -- @1.4 ","","Thu Dec 04 19:21:32 UTC 2025","passed","Thu Dec 04 19:23:49 UTC 2025","","","",""
"","123471","Unbroken evergreen funnel -- @1.2 ","","Thu Dec 04 19:17:33 UTC 2025","passed","Thu Dec 04 19:19:36 UTC 2025","","","",""
"","115620","Unbroken evergreen funnel -- @1.3 ","","Thu Dec 04 19:19:36 UTC 2025","passed","Thu Dec 04 19:21:32 UTC 2025","","","",""
"","69637","Unbroken evergreen funnel -- @1.11 ","","Thu Dec 04 19:37:56 UTC 2025","passed","Thu Dec 04 19:39:05 UTC 2025","","","",""
"","145851","Unbroken evergreen funnel -- @1.19 ","","Thu Dec 04 19:57:57 UTC 2025","passed","Thu Dec 04 20:00:23 UTC 2025","","","",""
"","206319","Unbroken evergreen funnel -- @1.15 ","","Thu Dec 04 19:47:00 UTC 2025","passed","Thu Dec 04 19:50:26 UTC 2025","","","",""
"","135184","Unbroken evergreen funnel -- @1.6 ","","Thu Dec 04 19:26:15 UTC 2025","passed","Thu Dec 04 19:28:30 UTC 2025","","","",""
