"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","143979","BB Evergreen funnel -- @1.4 ","","2026-01-19","passed","2026-01-19","","","",""
"","137157","BB Evergreen funnel -- @1.9 ","","2026-01-19","passed","2026-01-19","","","",""
"","118087","BB Evergreen funnel -- @1.8 ","","2026-01-19","passed","2026-01-19","","","",""
"","198540","BB Evergreen funnel -- @1.15 ","","2026-01-19","passed","2026-01-19","","","",""
"","130475","BB Evergreen funnel -- @1.17 ","","2026-01-19","passed","2026-01-19","","","",""
"","135453","BB Evergreen funnel -- @1.5 ","","2026-01-19","passed","2026-01-19","","","",""
"","149985","BB Evergreen funnel -- @1.3 ","","2026-01-19","passed","2026-01-19","","","",""
"","136104","BB Evergreen funnel -- @1.11 ","","2026-01-19","passed","2026-01-19","","","",""
"","152013","BB Evergreen funnel -- @1.22 ","","2026-01-19","passed","2026-01-19","","","",""
"","177530","BB Evergreen funnel -- @1.10 ","","2026-01-19","passed","2026-01-19","","","",""
"","135476","BB Evergreen funnel -- @1.6 ","","2026-01-19","passed","2026-01-19","","","",""
"","146161","BB Evergreen funnel -- @1.20 ","","2026-01-19","passed","2026-01-19","","","",""
"","163061","BB Evergreen funnel -- @1.1 ","","2026-01-19","passed","2026-01-19","","","",""
"","168073","BB Evergreen funnel -- @1.19 ","","2026-01-19","passed","2026-01-19","","","",""
"","134610","BB Evergreen funnel -- @1.7 ","","2026-01-19","passed","2026-01-19","","","",""
"","160364","BB Evergreen funnel -- @1.16 ","","2026-01-19","passed","2026-01-19","","","",""
"","178534","BB Evergreen funnel -- @1.12 ","","2026-01-19","passed","2026-01-19","","","",""
"","104161","BB Evergreen funnel -- @1.23 ","","2026-01-19","passed","2026-01-19","","","",""
"","32344","BB Evergreen funnel -- @1.18 ","","2026-01-19","failed","2026-01-19","","","",""
"","141937","BB Evergreen funnel -- @1.13 ","","2026-01-19","passed","2026-01-19","","","",""
"","108741","BB Evergreen funnel -- @1.21 ","","2026-01-19","passed","2026-01-19","","","",""
"","180939","BB Evergreen funnel -- @1.14 ","","2026-01-19","passed","2026-01-19","","","",""
"","151336","BB Evergreen funnel -- @1.2 ","","2026-01-19","passed","2026-01-19","","","",""
