"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","174592","BB Evergreen funnel -- @1.15 ","","Thu Dec 04 20:58:22 UTC 2025","passed","Thu Dec 04 21:01:16 UTC 2025","","","",""
"","135619","BB Evergreen funnel -- @1.9 ","","Thu Dec 04 20:42:56 UTC 2025","passed","Thu Dec 04 20:45:12 UTC 2025","","","",""
"","144545","BB Evergreen funnel -- @1.20 ","","Thu Dec 04 21:09:20 UTC 2025","passed","Thu Dec 04 21:11:44 UTC 2025","","","",""
"","66440","BB Evergreen funnel -- @1.18 ","","Thu Dec 04 21:05:32 UTC 2025","passed","Thu Dec 04 21:06:38 UTC 2025","","","",""
"","134109","BB Evergreen funnel -- @1.13 ","","Thu Dec 04 20:53:14 UTC 2025","passed","Thu Dec 04 20:55:29 UTC 2025","","","",""
"","111622","BB Evergreen funnel -- @1.8 ","","Thu Dec 04 20:41:05 UTC 2025","passed","Thu Dec 04 20:42:56 UTC 2025","","","",""
"","140394","BB Evergreen funnel -- @1.4 ","","Thu Dec 04 20:32:14 UTC 2025","passed","Thu Dec 04 20:34:34 UTC 2025","","","",""
"","173319","BB Evergreen funnel -- @1.14 ","","Thu Dec 04 20:55:29 UTC 2025","passed","Thu Dec 04 20:58:22 UTC 2025","","","",""
"","161618","BB Evergreen funnel -- @1.19 ","","Thu Dec 04 21:06:38 UTC 2025","passed","Thu Dec 04 21:09:20 UTC 2025","","","",""
"","174112","BB Evergreen funnel -- @1.12 ","","Thu Dec 04 20:50:20 UTC 2025","passed","Thu Dec 04 20:53:14 UTC 2025","","","",""
"","139799","BB Evergreen funnel -- @1.2 ","","Thu Dec 04 20:27:32 UTC 2025","passed","Thu Dec 04 20:29:52 UTC 2025","","","",""
"","113048","BB Evergreen funnel -- @1.1 ","","Thu Dec 04 20:25:39 UTC 2025","failed","Thu Dec 04 20:27:32 UTC 2025","","","",""
"","130079","BB Evergreen funnel -- @1.6 ","","Thu Dec 04 20:36:47 UTC 2025","passed","Thu Dec 04 20:38:57 UTC 2025","","","",""
"","132943","BB Evergreen funnel -- @1.11 ","","Thu Dec 04 20:48:07 UTC 2025","passed","Thu Dec 04 20:50:20 UTC 2025","","","",""
"","99561","BB Evergreen funnel -- @1.23 ","","Thu Dec 04 21:15:52 UTC 2025","passed","Thu Dec 04 21:17:31 UTC 2025","","","",""
"","102273","BB Evergreen funnel -- @1.21 ","","Thu Dec 04 21:11:44 UTC 2025","passed","Thu Dec 04 21:13:27 UTC 2025","","","",""
"","145209","BB Evergreen funnel -- @1.22 ","","Thu Dec 04 21:13:27 UTC 2025","passed","Thu Dec 04 21:15:52 UTC 2025","","","",""
"","143185","BB Evergreen funnel -- @1.16 ","","Thu Dec 04 21:01:16 UTC 2025","passed","Thu Dec 04 21:03:40 UTC 2025","","","",""
"","133026","BB Evergreen funnel -- @1.5 ","","Thu Dec 04 20:34:34 UTC 2025","passed","Thu Dec 04 20:36:47 UTC 2025","","","",""
"","141585","BB Evergreen funnel -- @1.3 ","","Thu Dec 04 20:29:52 UTC 2025","passed","Thu Dec 04 20:32:14 UTC 2025","","","",""
"","175561","BB Evergreen funnel -- @1.10 ","","Thu Dec 04 20:45:12 UTC 2025","passed","Thu Dec 04 20:48:07 UTC 2025","","","",""
"","127533","BB Evergreen funnel -- @1.7 ","","Thu Dec 04 20:38:57 UTC 2025","passed","Thu Dec 04 20:41:05 UTC 2025","","","",""
"","112087","BB Evergreen funnel -- @1.17 ","","Thu Dec 04 21:03:40 UTC 2025","passed","Thu Dec 04 21:05:32 UTC 2025","","","",""
