"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","164167","LG Evergreen funnel -- @1.16 ","","Sat Nov 29 23:45:35 UTC 2025","passed","Sat Nov 29 23:48:19 UTC 2025","","","",""
"","95970","BB Evergreen funnel -- @1.23 ","","Sat Nov 29 23:09:42 UTC 2025","passed","Sat Nov 29 23:11:18 UTC 2025","","","",""
"","132207","LG Evergreen funnel -- @1.6 ","","Sat Nov 29 23:22:47 UTC 2025","passed","Sat Nov 29 23:24:59 UTC 2025","","","",""
"","141160","BB Evergreen funnel -- @1.22 ","","Sat Nov 29 23:07:21 UTC 2025","passed","Sat Nov 29 23:09:42 UTC 2025","","","",""
"","143032","BB Evergreen funnel -- @1.4 ","","Sat Nov 29 22:26:29 UTC 2025","passed","Sat Nov 29 22:28:52 UTC 2025","","","",""
"","132086","LG Evergreen funnel -- @1.4 ","","Sat Nov 29 23:18:13 UTC 2025","passed","Sat Nov 29 23:20:25 UTC 2025","","","",""
"","174000","LG Evergreen funnel -- @1.1 ","","Sat Nov 29 23:11:18 UTC 2025","passed","Sat Nov 29 23:14:12 UTC 2025","","","",""
"","109112","BB Evergreen funnel -- @1.17 ","","Sat Nov 29 22:57:48 UTC 2025","passed","Sat Nov 29 22:59:37 UTC 2025","","","",""
"","163187","BB Evergreen funnel -- @1.1 ","","Sat Nov 29 22:19:03 UTC 2025","passed","Sat Nov 29 22:21:47 UTC 2025","","","",""
"","141237","LG Evergreen funnel -- @1.5 ","","Sat Nov 29 23:20:25 UTC 2025","passed","Sat Nov 29 23:22:47 UTC 2025","","","",""
"","140740","LG Evergreen funnel -- @1.20 ","","Sat Nov 29 23:55:12 UTC 2025","passed","Sat Nov 29 23:57:32 UTC 2025","","","",""
"","134883","BB Evergreen funnel -- @1.5 ","","Sat Nov 29 22:28:52 UTC 2025","passed","Sat Nov 29 22:31:07 UTC 2025","","","",""
"","171353","BB Evergreen funnel -- @1.10 ","","Sat Nov 29 22:39:33 UTC 2025","passed","Sat Nov 29 22:42:24 UTC 2025","","","",""
"","135836","BB Evergreen funnel -- @1.20 ","","Sat Nov 29 23:03:25 UTC 2025","passed","Sat Nov 29 23:05:41 UTC 2025","","","",""
"","100147","BB Evergreen funnel -- @1.21 ","","Sat Nov 29 23:05:41 UTC 2025","passed","Sat Nov 29 23:07:21 UTC 2025","","","",""
"","67399","BB Evergreen funnel -- @1.18 ","","Sat Nov 29 22:59:37 UTC 2025","passed","Sat Nov 29 23:00:44 UTC 2025","","","",""
"","130485","BB Evergreen funnel -- @1.13 ","","Sat Nov 29 22:47:28 UTC 2025","passed","Sat Nov 29 22:49:39 UTC 2025","","","",""
"","128271","LG Evergreen funnel -- @1.18 ","","Sat Nov 29 23:50:39 UTC 2025","passed","Sat Nov 29 23:52:47 UTC 2025","","","",""
"","94516","LG Evergreen funnel -- @1.12 ","","Sat Nov 29 23:35:09 UTC 2025","passed","Sat Nov 29 23:36:43 UTC 2025","","","",""
"","161235","LG Evergreen funnel -- @1.13 ","","Sat Nov 29 23:36:43 UTC 2025","passed","Sat Nov 29 23:39:25 UTC 2025","","","",""
"","130947","LG Evergreen funnel -- @1.9 ","","Sat Nov 29 23:29:30 UTC 2025","passed","Sat Nov 29 23:31:41 UTC 2025","","","",""
"","131747","LG Evergreen funnel -- @1.2 ","","Sat Nov 29 23:14:12 UTC 2025","passed","Sat Nov 29 23:16:24 UTC 2025","","","",""
"","141829","BB Evergreen funnel -- @1.2 ","","Sat Nov 29 22:21:47 UTC 2025","passed","Sat Nov 29 22:24:08 UTC 2025","","","",""
"","141029","BB Evergreen funnel -- @1.3 ","","Sat Nov 29 22:24:08 UTC 2025","passed","Sat Nov 29 22:26:29 UTC 2025","","","",""
"","133372","LG Evergreen funnel -- @1.8 ","","Sat Nov 29 23:27:16 UTC 2025","passed","Sat Nov 29 23:29:30 UTC 2025","","","",""
"","144620","LG Evergreen funnel -- @1.19 ","","Sat Nov 29 23:52:47 UTC 2025","passed","Sat Nov 29 23:55:12 UTC 2025","","","",""
"","114005","BB Evergreen funnel -- @1.8 ","","Sat Nov 29 22:35:27 UTC 2025","passed","Sat Nov 29 22:37:21 UTC 2025","","","",""
"","132154","LG Evergreen funnel -- @1.21 ","","Sat Nov 29 23:57:32 UTC 2025","passed","Sat Nov 29 23:59:45 UTC 2025","","","",""
"","109118","LG Evergreen funnel -- @1.3 ","","Sat Nov 29 23:16:24 UTC 2025","passed","Sat Nov 29 23:18:13 UTC 2025","","","",""
"","137580","LG Evergreen funnel -- @1.7 ","","Sat Nov 29 23:24:59 UTC 2025","passed","Sat Nov 29 23:27:16 UTC 2025","","","",""
"","130733","BB Evergreen funnel -- @1.11 ","","Sat Nov 29 22:42:24 UTC 2025","passed","Sat Nov 29 22:44:35 UTC 2025","","","",""
"","132514","BB Evergreen funnel -- @1.6 ","","Sat Nov 29 22:31:07 UTC 2025","passed","Sat Nov 29 22:33:20 UTC 2025","","","",""
"","199780","LG Evergreen funnel -- @1.15 ","","Sat Nov 29 23:42:15 UTC 2025","passed","Sat Nov 29 23:45:35 UTC 2025","","","",""
"","139870","LG Evergreen funnel -- @1.17 ","","Sat Nov 29 23:48:19 UTC 2025","passed","Sat Nov 29 23:50:39 UTC 2025","","","",""
"","175413","BB Evergreen funnel -- @1.15 ","","Sat Nov 29 22:52:31 UTC 2025","passed","Sat Nov 29 22:55:26 UTC 2025","","","",""
