"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","131273","CR Evergreen funnel -- @1.13 ","","2026-04-18","passed","2026-04-18","","","",""
"","144428","CR Evergreen funnel -- @1.2 ","","2026-04-18","passed","2026-04-18","","","",""
"","161703","CR Evergreen funnel -- @1.19 ","","2026-04-18","passed","2026-04-18","","","",""
"","177353","CR Evergreen funnel -- @1.12 ","","2026-04-18","passed","2026-04-18","","","",""
"","112537","CR Evergreen funnel -- @1.17 ","","2026-04-18","passed","2026-04-18","","","",""
"","142093","CR Evergreen funnel -- @1.20 ","","2026-04-18","passed","2026-04-18","","","",""
"","129147","CR Evergreen funnel -- @1.7 ","","2026-04-18","passed","2026-04-18","","","",""
"","163703","CR Evergreen funnel -- @1.1 ","","2026-04-18","passed","2026-04-18","","","",""
"","143536","CR Evergreen funnel -- @1.16 ","","2026-04-18","passed","2026-04-18","","","",""
"","142762","CR Evergreen funnel -- @1.22 ","","2026-04-18","passed","2026-04-18","","","",""
"","113421","CR Evergreen funnel -- @1.8 ","","2026-04-18","passed","2026-04-18","","","",""
"","133615","CR Evergreen funnel -- @1.11 ","","2026-04-18","passed","2026-04-18","","","",""
"","145507","CR Evergreen funnel -- @1.3 ","","2026-04-18","passed","2026-04-18","","","",""
"","144668","CR Evergreen funnel -- @1.4 ","","2026-04-18","passed","2026-04-18","","","",""
"","67287","CR Evergreen funnel -- @1.18 ","","2026-04-18","passed","2026-04-18","","","",""
"","176704","CR Evergreen funnel -- @1.10 ","","2026-04-18","passed","2026-04-18","","","",""
"","135645","CR Evergreen funnel -- @1.5 ","","2026-04-18","passed","2026-04-18","","","",""
"","171052","CR Evergreen funnel -- @1.15 ","","2026-04-18","passed","2026-04-18","","","",""
"","101362","CR Evergreen funnel -- @1.21 ","","2026-04-18","passed","2026-04-18","","","",""
"","135290","CR Evergreen funnel -- @1.9 ","","2026-04-18","passed","2026-04-18","","","",""
"","177822","CR Evergreen funnel -- @1.14 ","","2026-04-18","passed","2026-04-18","","","",""
"","135166","CR Evergreen funnel -- @1.6 ","","2026-04-18","passed","2026-04-18","","","",""
"","96999","CR Evergreen funnel -- @1.23 ","","2026-04-18","passed","2026-04-18","","","",""
