"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","186132","CR Evergreen funnel -- @1.12 ","","2026-01-31","passed","2026-01-31","","","",""
"","142901","CR Evergreen funnel -- @1.9 ","","2026-01-31","passed","2026-01-31","","","",""
"","143350","CR Evergreen funnel -- @1.11 ","","2026-01-31","passed","2026-01-31","","","",""
"","141004","CR Evergreen funnel -- @1.13 ","","2026-01-31","passed","2026-01-31","","","",""
"","144460","CR Evergreen funnel -- @1.5 ","","2026-01-31","passed","2026-01-31","","","",""
"","151480","CR Evergreen funnel -- @1.4 ","","2026-01-31","passed","2026-01-31","","","",""
"","108649","CR Evergreen funnel -- @1.21 ","","2026-01-31","passed","2026-01-31","","","",""
"","117909","CR Evergreen funnel -- @1.17 ","","2026-01-31","passed","2026-01-31","","","",""
"","164721","CR Evergreen funnel -- @1.20 ","","2026-01-31","passed","2026-01-31","","","",""
"","184195","CR Evergreen funnel -- @1.14 ","","2026-01-31","passed","2026-01-31","","","",""
"","151073","CR Evergreen funnel -- @1.2 ","","2026-01-31","passed","2026-01-31","","","",""
"","180717","CR Evergreen funnel -- @1.15 ","","2026-01-31","passed","2026-01-31","","","",""
"","157991","CR Evergreen funnel -- @1.22 ","","2026-01-31","passed","2026-01-31","","","",""
"","180436","CR Evergreen funnel -- @1.10 ","","2026-01-31","passed","2026-01-31","","","",""
"","148809","CR Evergreen funnel -- @1.3 ","","2026-01-31","passed","2026-01-31","","","",""
"","178403","CR Evergreen funnel -- @1.19 ","","2026-01-31","passed","2026-01-31","","","",""
"","135174","CR Evergreen funnel -- @1.7 ","","2026-01-31","passed","2026-01-31","","","",""
"","174218","CR Evergreen funnel -- @1.1 ","","2026-01-31","passed","2026-01-31","","","",""
"","140961","CR Evergreen funnel -- @1.6 ","","2026-01-31","passed","2026-01-31","","","",""
"","155792","CR Evergreen funnel -- @1.16 ","","2026-01-31","passed","2026-01-31","","","",""
"","119771","CR Evergreen funnel -- @1.8 ","","2026-01-31","passed","2026-01-31","","","",""
"","74257","CR Evergreen funnel -- @1.18 ","","2026-01-31","passed","2026-01-31","","","",""
"","106110","CR Evergreen funnel -- @1.23 ","","2026-01-31","passed","2026-01-31","","","",""
