"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","162331","CR Live screening funnel -- @1.1 ","","2026-02-08","passed","2026-02-08","","","",""
"","126473","CR Live screening funnel -- @1.11 ","","2026-02-08","passed","2026-02-08","","","",""
"","105392","CR Live screening funnel -- @1.8 ","","2026-02-08","passed","2026-02-08","","","",""
"","132476","CR Live screening funnel -- @1.3 ","","2026-02-08","passed","2026-02-08","","","",""
"","120986","CR Live screening funnel -- @1.5 ","","2026-02-08","passed","2026-02-08","","","",""
"","163864","CR Live screening funnel -- @1.12 ","","2026-02-08","passed","2026-02-08","","","",""
"","132731","CR Live screening funnel -- @1.2 ","","2026-02-08","passed","2026-02-08","","","",""
"","163465","CR Live screening funnel -- @1.10 ","","2026-02-08","passed","2026-02-08","","","",""
"","119061","CR Live screening funnel -- @1.6 ","","2026-02-08","passed","2026-02-08","","","",""
"","131529","CR Live screening funnel -- @1.4 ","","2026-02-08","passed","2026-02-08","","","",""
"","116152","CR Live screening funnel -- @1.7 ","","2026-02-08","passed","2026-02-08","","","",""
"","123934","CR Live screening funnel -- @1.9 ","","2026-02-08","passed","2026-02-08","","","",""
