"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","97532","CR Live screening funnel -- @1.8 ","","2026-03-11","passed","2026-03-11","","","",""
"","166617","CR Live screening funnel -- @1.1 ","","2026-03-11","passed","2026-03-11","","","",""
"","126507","CR Live screening funnel -- @1.11 ","","2026-03-11","passed","2026-03-11","","","",""
"","170266","CR Live screening funnel -- @1.10 ","","2026-03-11","passed","2026-03-11","","","",""
"","132324","CR Live screening funnel -- @1.2 ","","2026-03-11","passed","2026-03-11","","","",""
"","130426","CR Live screening funnel -- @1.4 ","","2026-03-11","passed","2026-03-11","","","",""
"","120733","CR Live screening funnel -- @1.5 ","","2026-03-11","passed","2026-03-11","","","",""
"","27670","CR Live screening funnel -- @1.9 ","","2026-03-11","failed","2026-03-11","","","",""
"","159308","CR Live screening funnel -- @1.12 ","","2026-03-11","passed","2026-03-11","","","",""
"","133041","CR Live screening funnel -- @1.3 ","","2026-03-11","passed","2026-03-11","","","",""
"","121363","CR Live screening funnel -- @1.6 ","","2026-03-11","passed","2026-03-11","","","",""
"","120919","CR Live screening funnel -- @1.7 ","","2026-03-11","passed","2026-03-11","","","",""
