"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","194778","LG Live funnel -- @1.1 ","","Sat Nov 01 18:19:26 UTC 2025","failed","Sat Nov 01 18:22:41 UTC 2025","","","",""
"","150234","LG Live funnel -- @1.18 ","","Sat Nov 01 19:00:53 UTC 2025","failed","Sat Nov 01 19:03:24 UTC 2025","","","",""
"","143402","LG Live funnel -- @1.7 ","","Sat Nov 01 18:34:21 UTC 2025","failed","Sat Nov 01 18:36:45 UTC 2025","","","",""
"","189257","LG Live funnel -- @1.14 ","","Sat Nov 01 18:48:26 UTC 2025","failed","Sat Nov 01 18:51:35 UTC 2025","","","",""
"","146122","LG Live funnel -- @1.4 ","","Sat Nov 01 18:27:00 UTC 2025","failed","Sat Nov 01 18:29:26 UTC 2025","","","",""
"","121971","LG Live funnel -- @1.3 ","","Sat Nov 01 18:24:58 UTC 2025","failed","Sat Nov 01 18:27:00 UTC 2025","","","",""
"","155061","LG Live funnel -- @1.19 ","","Sat Nov 01 19:03:24 UTC 2025","failed","Sat Nov 01 19:05:59 UTC 2025","","","",""
"","158504","LG Live funnel -- @1.20 ","","Sat Nov 01 19:05:59 UTC 2025","failed","Sat Nov 01 19:08:37 UTC 2025","","","",""
"","144432","LG Live funnel -- @1.6 ","","Sat Nov 01 18:31:57 UTC 2025","failed","Sat Nov 01 18:34:21 UTC 2025","","","",""
"","68231","LG Live funnel -- @1.12 ","","Sat Nov 01 18:44:24 UTC 2025","failed","Sat Nov 01 18:45:32 UTC 2025","","","",""
"","154752","LG Live funnel -- @1.17 ","","Sat Nov 01 18:58:19 UTC 2025","failed","Sat Nov 01 19:00:53 UTC 2025","","","",""
"","137110","LG Live funnel -- @1.2 ","","Sat Nov 01 18:22:41 UTC 2025","failed","Sat Nov 01 18:24:58 UTC 2025","","","",""
"","180270","LG Live funnel -- @1.16 ","","Sat Nov 01 18:55:18 UTC 2025","failed","Sat Nov 01 18:58:19 UTC 2025","","","",""
"","92354","LG Live funnel -- @1.9 ","","Sat Nov 01 18:39:01 UTC 2025","broken","Sat Nov 01 18:40:34 UTC 2025","","","",""
"","223518","LG Live funnel -- @1.15 ","","Sat Nov 01 18:51:35 UTC 2025","failed","Sat Nov 01 18:55:18 UTC 2025","","","",""
"","150617","LG Live funnel -- @1.5 ","","Sat Nov 01 18:29:26 UTC 2025","failed","Sat Nov 01 18:31:57 UTC 2025","","","",""
"","160446","LG Live funnel -- @1.10 ","","Sat Nov 01 18:40:34 UTC 2025","failed","Sat Nov 01 18:43:14 UTC 2025","","","",""
"","70290","LG Live funnel -- @1.11 ","","Sat Nov 01 18:43:14 UTC 2025","failed","Sat Nov 01 18:44:24 UTC 2025","","","",""
"","149661","LG Live funnel -- @1.21 ","","Sat Nov 01 19:08:37 UTC 2025","failed","Sat Nov 01 19:11:07 UTC 2025","","","",""
"","136464","LG Live funnel -- @1.8 ","","Sat Nov 01 18:36:45 UTC 2025","failed","Sat Nov 01 18:39:01 UTC 2025","","","",""
"","173073","LG Live funnel -- @1.13 ","","Sat Nov 01 18:45:32 UTC 2025","failed","Sat Nov 01 18:48:26 UTC 2025","","","",""
