"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","190906","LG Live funnel -- @1.15 ","","Wed Oct 15 18:51:25 UTC 2025","passed","Wed Oct 15 18:54:36 UTC 2025","","","",""
"","121144","LG Live funnel -- @1.6 ","","Wed Oct 15 18:33:39 UTC 2025","passed","Wed Oct 15 18:35:40 UTC 2025","","","",""
"","160952","LG Live funnel -- @1.14 ","","Wed Oct 15 18:48:44 UTC 2025","passed","Wed Oct 15 18:51:25 UTC 2025","","","",""
"","108462","LG Live funnel -- @1.3 ","","Wed Oct 15 18:27:32 UTC 2025","passed","Wed Oct 15 18:29:21 UTC 2025","","","",""
"","148053","LG Live funnel -- @1.10 ","","Wed Oct 15 18:41:47 UTC 2025","passed","Wed Oct 15 18:44:15 UTC 2025","","","",""
"","80399","LG Live funnel -- @1.12 ","","Wed Oct 15 18:44:59 UTC 2025","passed","Wed Oct 15 18:46:19 UTC 2025","","","",""
"","116909","LG Live funnel -- @1.2 ","","Wed Oct 15 18:25:35 UTC 2025","passed","Wed Oct 15 18:27:32 UTC 2025","","","",""
"","147861","LG Live funnel -- @1.17 ","","Wed Oct 15 18:57:07 UTC 2025","passed","Wed Oct 15 18:59:35 UTC 2025","","","",""
"","128991","LG Live funnel -- @1.5 ","","Wed Oct 15 18:31:30 UTC 2025","passed","Wed Oct 15 18:33:39 UTC 2025","","","",""
"","145446","LG Live funnel -- @1.13 ","","Wed Oct 15 18:46:19 UTC 2025","passed","Wed Oct 15 18:48:44 UTC 2025","","","",""
"","129057","LG Live funnel -- @1.4 ","","Wed Oct 15 18:29:21 UTC 2025","passed","Wed Oct 15 18:31:30 UTC 2025","","","",""
"","125403","LG Live funnel -- @1.7 ","","Wed Oct 15 18:35:40 UTC 2025","passed","Wed Oct 15 18:37:45 UTC 2025","","","",""
"","151092","LG Live funnel -- @1.16 ","","Wed Oct 15 18:54:36 UTC 2025","passed","Wed Oct 15 18:57:07 UTC 2025","","","",""
"","116779","LG Live funnel -- @1.18 ","","Wed Oct 15 18:59:35 UTC 2025","passed","Wed Oct 15 19:01:32 UTC 2025","","","",""
"","118858","LG Live funnel -- @1.9 ","","Wed Oct 15 18:39:48 UTC 2025","passed","Wed Oct 15 18:41:47 UTC 2025","","","",""
"","122567","LG Live funnel -- @1.8 ","","Wed Oct 15 18:37:45 UTC 2025","passed","Wed Oct 15 18:39:48 UTC 2025","","","",""
"","128734","LG Live funnel -- @1.20 ","","Wed Oct 15 19:03:39 UTC 2025","passed","Wed Oct 15 19:05:47 UTC 2025","","","",""
"","43830","LG Live funnel -- @1.11 ","","Wed Oct 15 18:44:15 UTC 2025","passed","Wed Oct 15 18:44:59 UTC 2025","","","",""
"","112220","LG Live funnel -- @1.21 ","","Wed Oct 15 19:05:47 UTC 2025","passed","Wed Oct 15 19:07:40 UTC 2025","","","",""
"","126720","LG Live funnel -- @1.19 ","","Wed Oct 15 19:01:32 UTC 2025","passed","Wed Oct 15 19:03:39 UTC 2025","","","",""
"","196060","LG Live funnel -- @1.1 ","","Wed Oct 15 18:22:19 UTC 2025","failed","Wed Oct 15 18:25:35 UTC 2025","","","",""
