"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","127557","Face Scan funnel -- @1.22 ","","2026-04-06","passed","2026-04-06","","","",""
"","118137","Face Scan funnel -- @1.19 ","","2026-04-06","failed","2026-04-06","","","",""
"","123861","Face Scan funnel -- @1.10 ","","2026-04-06","passed","2026-04-06","","","",""
"","128133","Face Scan funnel -- @1.16 ","","2026-04-06","passed","2026-04-06","","","",""
"","46829","Face Scan funnel -- @1.23 ","","2026-04-06","failed","2026-04-06","","","",""
"","89535","Face Scan funnel -- @1.9 ","","2026-04-06","passed","2026-04-06","","","",""
"","122959","Face Scan funnel -- @1.11 ","","2026-04-06","passed","2026-04-06","","","",""
"","123989","Face Scan funnel -- @1.4 ","","2026-04-06","passed","2026-04-06","","","",""
"","121396","Face Scan funnel -- @1.13 ","","2026-04-06","passed","2026-04-06","","","",""
"","122426","Face Scan funnel -- @1.8 ","","2026-04-06","passed","2026-04-06","","","",""
"","46829","Face Scan funnel -- @1.7 ","","2026-04-06","failed","2026-04-06","","","",""
"","46943","Face Scan funnel -- @1.6 ","","2026-04-06","failed","2026-04-06","","","",""
"","46701","Face Scan funnel -- @1.2 ","","2026-04-06","failed","2026-04-06","","","",""
"","123325","Face Scan funnel -- @1.5 ","","2026-04-06","passed","2026-04-06","","","",""
"","48029","Face Scan funnel -- @1.18 ","","2026-04-06","failed","2026-04-06","","","",""
"","92165","Face Scan funnel -- @1.21 ","","2026-04-06","passed","2026-04-06","","","",""
"","187706","Face Scan funnel -- @1.1 ","","2026-04-06","passed","2026-04-06","","","",""
"","154657","Face Scan funnel -- @1.15 ","","2026-04-06","passed","2026-04-06","","","",""
"","118853","Face Scan funnel -- @1.3 ","","2026-04-06","passed","2026-04-06","","","",""
"","91260","Face Scan funnel -- @1.17 ","","2026-04-06","passed","2026-04-06","","","",""
"","46764","Face Scan funnel -- @1.14 ","","2026-04-06","failed","2026-04-06","","","",""
"","132179","Face Scan funnel -- @1.20 ","","2026-04-06","passed","2026-04-06","","","",""
"","158037","Face Scan funnel -- @1.12 ","","2026-04-06","passed","2026-04-06","","","",""
