"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","70224","IS Evergreen funnel -- @1.18 ","","2026-02-25","passed","2026-02-25","","","",""
"","135926","IS Evergreen funnel -- @1.6 ","","2026-02-25","passed","2026-02-25","","","",""
"","166531","IS Evergreen funnel -- @1.19 ","","2026-02-25","passed","2026-02-25","","","",""
"","146363","IS Evergreen funnel -- @1.4 ","","2026-02-25","passed","2026-02-25","","","",""
"","135293","IS Evergreen funnel -- @1.11 ","","2026-02-25","passed","2026-02-25","","","",""
"","144829","IS Evergreen funnel -- @1.16 ","","2026-02-25","passed","2026-02-25","","","",""
"","101378","IS Evergreen funnel -- @1.21 ","","2026-02-25","passed","2026-02-25","","","",""
"","177954","IS Evergreen funnel -- @1.10 ","","2026-02-25","passed","2026-02-25","","","",""
"","142899","IS Evergreen funnel -- @1.2 ","","2026-02-25","passed","2026-02-25","","","",""
"","145871","IS Evergreen funnel -- @1.3 ","","2026-02-25","passed","2026-02-25","","","",""
"","135330","IS Evergreen funnel -- @1.13 ","","2026-02-25","passed","2026-02-25","","","",""
"","177430","IS Evergreen funnel -- @1.15 ","","2026-02-25","passed","2026-02-25","","","",""
"","147559","IS Evergreen funnel -- @1.22 ","","2026-02-25","passed","2026-02-25","","","",""
"","141727","IS Evergreen funnel -- @1.9 ","","2026-02-25","passed","2026-02-25","","","",""
"","114709","IS Evergreen funnel -- @1.17 ","","2026-02-25","passed","2026-02-25","","","",""
"","101399","IS Evergreen funnel -- @1.23 ","","2026-02-25","passed","2026-02-25","","","",""
"","174960","IS Evergreen funnel -- @1.14 ","","2026-02-25","passed","2026-02-25","","","",""
"","165127","IS Evergreen funnel -- @1.1 ","","2026-02-25","passed","2026-02-25","","","",""
"","112743","IS Evergreen funnel -- @1.8 ","","2026-02-25","passed","2026-02-25","","","",""
"","131830","IS Evergreen funnel -- @1.7 ","","2026-02-25","passed","2026-02-25","","","",""
"","143948","IS Evergreen funnel -- @1.20 ","","2026-02-25","passed","2026-02-25","","","",""
"","133474","IS Evergreen funnel -- @1.5 ","","2026-02-25","passed","2026-02-25","","","",""
"","179444","IS Evergreen funnel -- @1.12 ","","2026-02-25","passed","2026-02-25","","","",""
