"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","81110","Unbroken evergreen funnel -- @1.4 ","","Tue Nov 18 20:07:31 UTC 2025","failed","Tue Nov 18 20:08:53 UTC 2025","","","",""
"","165399","KM Evergreen funnel -- @1.1 ","","Tue Nov 18 20:48:55 UTC 2025","passed","Tue Nov 18 20:51:40 UTC 2025","","","",""
"","181581","KM Evergreen funnel -- @1.5 ","","Tue Nov 18 20:58:58 UTC 2025","passed","Tue Nov 18 21:02:00 UTC 2025","","","",""
"","147006","KM Evergreen funnel -- @1.2 ","","Tue Nov 18 20:51:40 UTC 2025","passed","Tue Nov 18 20:54:07 UTC 2025","","","",""
"","99670","KM Evergreen funnel -- @1.23 ","","Tue Nov 18 21:40:35 UTC 2025","passed","Tue Nov 18 21:42:15 UTC 2025","","","",""
"","138378","KM Evergreen funnel -- @1.6 ","","Tue Nov 18 21:02:00 UTC 2025","passed","Tue Nov 18 21:04:18 UTC 2025","","","",""
"","165013","Unbroken evergreen funnel -- @1.13 ","","Tue Nov 18 20:24:53 UTC 2025","passed","Tue Nov 18 20:27:38 UTC 2025","","","",""
"","108730","KM Evergreen funnel -- @1.20 ","","Tue Nov 18 21:34:38 UTC 2025","failed","Tue Nov 18 21:36:27 UTC 2025","","","",""
"","145166","KM Evergreen funnel -- @1.3 ","","Tue Nov 18 20:54:07 UTC 2025","passed","Tue Nov 18 20:56:32 UTC 2025","","","",""
"","131658","Unbroken evergreen funnel -- @1.6 ","","Tue Nov 18 20:09:41 UTC 2025","passed","Tue Nov 18 20:11:53 UTC 2025","","","",""
"","123522","Unbroken evergreen funnel -- @1.1 ","","Tue Nov 18 20:01:47 UTC 2025","failed","Tue Nov 18 20:03:51 UTC 2025","","","",""
"","149564","Unbroken evergreen funnel -- @1.20 ","","Tue Nov 18 20:44:11 UTC 2025","passed","Tue Nov 18 20:46:40 UTC 2025","","","",""
"","134733","Unbroken evergreen funnel -- @1.21 ","","Tue Nov 18 20:46:40 UTC 2025","passed","Tue Nov 18 20:48:55 UTC 2025","","","",""
"","145511","KM Evergreen funnel -- @1.4 ","","Tue Nov 18 20:56:32 UTC 2025","passed","Tue Nov 18 20:58:58 UTC 2025","","","",""
"","136561","KM Evergreen funnel -- @1.9 ","","Tue Nov 18 21:08:27 UTC 2025","passed","Tue Nov 18 21:10:43 UTC 2025","","","",""
"","108464","KM Evergreen funnel -- @1.16 ","","Tue Nov 18 21:27:00 UTC 2025","failed","Tue Nov 18 21:28:48 UTC 2025","","","",""
"","151065","Unbroken evergreen funnel -- @1.19 ","","Tue Nov 18 20:41:39 UTC 2025","passed","Tue Nov 18 20:44:11 UTC 2025","","","",""
"","149251","Unbroken evergreen funnel -- @1.17 ","","Tue Nov 18 20:36:52 UTC 2025","passed","Tue Nov 18 20:39:22 UTC 2025","","","",""
"","134037","Unbroken evergreen funnel -- @1.12 ","","Tue Nov 18 20:22:38 UTC 2025","passed","Tue Nov 18 20:24:53 UTC 2025","","","",""
"","137316","KM Evergreen funnel -- @1.13 ","","Tue Nov 18 21:18:50 UTC 2025","passed","Tue Nov 18 21:21:07 UTC 2025","","","",""
"","177133","Unbroken evergreen funnel -- @1.14 ","","Tue Nov 18 20:27:38 UTC 2025","passed","Tue Nov 18 20:30:35 UTC 2025","","","",""
"","143647","Unbroken evergreen funnel -- @1.7 ","","Tue Nov 18 20:11:53 UTC 2025","passed","Tue Nov 18 20:14:16 UTC 2025","","","",""
"","115500","KM Evergreen funnel -- @1.8 ","","Tue Nov 18 21:06:31 UTC 2025","passed","Tue Nov 18 21:08:27 UTC 2025","","","",""
"","211030","Unbroken evergreen funnel -- @1.15 ","","Tue Nov 18 20:30:35 UTC 2025","passed","Tue Nov 18 20:34:06 UTC 2025","","","",""
"","175857","KM Evergreen funnel -- @1.15 ","","Tue Nov 18 21:24:04 UTC 2025","passed","Tue Nov 18 21:27:00 UTC 2025","","","",""
"","133303","KM Evergreen funnel -- @1.7 ","","Tue Nov 18 21:04:18 UTC 2025","passed","Tue Nov 18 21:06:31 UTC 2025","","","",""
"","124675","Unbroken evergreen funnel -- @1.3 ","","Tue Nov 18 20:05:27 UTC 2025","passed","Tue Nov 18 20:07:31 UTC 2025","","","",""
"","95950","Unbroken evergreen funnel -- @1.2 ","","Tue Nov 18 20:03:51 UTC 2025","passed","Tue Nov 18 20:05:27 UTC 2025","","","",""
"","145247","KM Evergreen funnel -- @1.22 ","","Tue Nov 18 21:38:10 UTC 2025","passed","Tue Nov 18 21:40:35 UTC 2025","","","",""
"","137971","Unbroken evergreen funnel -- @1.18 ","","Tue Nov 18 20:39:22 UTC 2025","passed","Tue Nov 18 20:41:39 UTC 2025","","","",""
"","144352","Unbroken evergreen funnel -- @1.9 ","","Tue Nov 18 20:16:37 UTC 2025","passed","Tue Nov 18 20:19:02 UTC 2025","","","",""
"","166577","Unbroken evergreen funnel -- @1.16 ","","Tue Nov 18 20:34:06 UTC 2025","passed","Tue Nov 18 20:36:52 UTC 2025","","","",""
