"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","114622","KM Evergreen funnel -- @1.17 ","","2026-01-26","passed","2026-01-26","","","",""
"","177714","KM Evergreen funnel -- @1.10 ","","2026-01-26","passed","2026-01-26","","","",""
"","137150","KM Evergreen funnel -- @1.6 ","","2026-01-26","passed","2026-01-26","","","",""
"","147372","KM Evergreen funnel -- @1.16 ","","2026-01-26","passed","2026-01-26","","","",""
"","138191","KM Evergreen funnel -- @1.13 ","","2026-01-26","passed","2026-01-26","","","",""
"","130125","KM Evergreen funnel -- @1.7 ","","2026-01-26","passed","2026-01-26","","","",""
"","116839","KM Evergreen funnel -- @1.8 ","","2026-01-26","passed","2026-01-26","","","",""
"","151170","KM Evergreen funnel -- @1.3 ","","2026-01-26","passed","2026-01-26","","","",""
"","148165","KM Evergreen funnel -- @1.2 ","","2026-01-26","passed","2026-01-26","","","",""
"","105644","KM Evergreen funnel -- @1.21 ","","2026-01-26","passed","2026-01-26","","","",""
"","145742","KM Evergreen funnel -- @1.22 ","","2026-01-26","passed","2026-01-26","","","",""
"","78499","KM Evergreen funnel -- @1.15 ","","2026-01-26","failed","2026-01-26","","","",""
"","137737","KM Evergreen funnel -- @1.11 ","","2026-01-26","passed","2026-01-26","","","",""
"","180085","KM Evergreen funnel -- @1.12 ","","2026-01-26","passed","2026-01-26","","","",""
"","99832","KM Evergreen funnel -- @1.23 ","","2026-01-26","passed","2026-01-26","","","",""
"","144922","KM Evergreen funnel -- @1.20 ","","2026-01-26","passed","2026-01-26","","","",""
"","150346","KM Evergreen funnel -- @1.4 ","","2026-01-26","passed","2026-01-26","","","",""
"","168238","KM Evergreen funnel -- @1.19 ","","2026-01-26","passed","2026-01-26","","","",""
"","137974","KM Evergreen funnel -- @1.9 ","","2026-01-26","passed","2026-01-26","","","",""
"","180564","KM Evergreen funnel -- @1.14 ","","2026-01-26","passed","2026-01-26","","","",""
"","65290","KM Evergreen funnel -- @1.1 ","","2026-01-26","failed","2026-01-26","","","",""
"","138542","KM Evergreen funnel -- @1.5 ","","2026-01-26","passed","2026-01-26","","","",""
"","72768","KM Evergreen funnel -- @1.18 ","","2026-01-26","passed","2026-01-26","","","",""
