"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37914","LG Evergreen funnel -- @1.7 ","","2026-03-08","failed","2026-03-08","","","",""
"","79011","LG Evergreen funnel -- @1.4 ","","2026-03-08","failed","2026-03-08","","","",""
"","151314","LG Evergreen funnel -- @1.19 ","","2026-03-08","passed","2026-03-09","","","",""
"","100737","LG Evergreen funnel -- @1.12 ","","2026-03-08","passed","2026-03-08","","","",""
"","137069","LG Evergreen funnel -- @1.21 ","","2026-03-09","passed","2026-03-09","","","",""
"","138011","LG Evergreen funnel -- @1.18 ","","2026-03-08","passed","2026-03-08","","","",""
"","46282","LG Evergreen funnel -- @1.8 ","","2026-03-08","failed","2026-03-08","","","",""
"","68755","LG Evergreen funnel -- @1.11 ","","2026-03-08","passed","2026-03-08","","","",""
"","37890","LG Evergreen funnel -- @1.5 ","","2026-03-08","failed","2026-03-08","","","",""
"","178138","LG Evergreen funnel -- @1.14 ","","2026-03-08","passed","2026-03-08","","","",""
"","166294","LG Evergreen funnel -- @1.13 ","","2026-03-08","passed","2026-03-08","","","",""
"","166915","LG Evergreen funnel -- @1.16 ","","2026-03-08","passed","2026-03-08","","","",""
"","210441","LG Evergreen funnel -- @1.1 ","","2026-03-08","failed","2026-03-08","","","",""
"","37894","LG Evergreen funnel -- @1.9 ","","2026-03-08","failed","2026-03-08","","","",""
"","149120","LG Evergreen funnel -- @1.10 ","","2026-03-08","passed","2026-03-08","","","",""
"","145198","LG Evergreen funnel -- @1.17 ","","2026-03-08","passed","2026-03-08","","","",""
"","38093","LG Evergreen funnel -- @1.3 ","","2026-03-08","failed","2026-03-08","","","",""
"","150388","LG Evergreen funnel -- @1.20 ","","2026-03-09","passed","2026-03-09","","","",""
"","207891","LG Evergreen funnel -- @1.15 ","","2026-03-08","passed","2026-03-08","","","",""
"","37985","LG Evergreen funnel -- @1.2 ","","2026-03-08","failed","2026-03-08","","","",""
"","37891","LG Evergreen funnel -- @1.6 ","","2026-03-08","failed","2026-03-08","","","",""
