"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","111757","Restore Detox Supplement funnel -- @1.9 ","","Tue Dec 02 04:16:37 UTC 2025","passed","Tue Dec 02 04:18:29 UTC 2025","","","",""
"","113294","Restore Detox Supplement funnel -- @1.5 ","","Tue Dec 02 04:09:37 UTC 2025","passed","Tue Dec 02 04:11:30 UTC 2025","","","",""
"","147186","Restore Sleep Supplement funnel -- @1.15 ","","Tue Dec 02 03:57:46 UTC 2025","passed","Tue Dec 02 04:00:13 UTC 2025","","","",""
"","79424","Restore Detox Supplement funnel -- @1.17 ","","Tue Dec 02 04:31:32 UTC 2025","passed","Tue Dec 02 04:32:52 UTC 2025","","","",""
"","112326","Restore Detox Supplement funnel -- @1.16 ","","Tue Dec 02 04:29:40 UTC 2025","passed","Tue Dec 02 04:31:32 UTC 2025","","","",""
"","147764","Restore Sleep Supplement funnel -- @1.11 ","","Tue Dec 02 03:47:38 UTC 2025","passed","Tue Dec 02 03:50:06 UTC 2025","","","",""
"","112703","Restore Detox Supplement funnel -- @1.1 ","","Tue Dec 02 04:02:42 UTC 2025","passed","Tue Dec 02 04:04:34 UTC 2025","","","",""
"","152103","Restore Sleep Supplement funnel -- @1.6 ","","Tue Dec 02 03:35:36 UTC 2025","passed","Tue Dec 02 03:38:08 UTC 2025","","","",""
"","110660","Restore Detox Supplement funnel -- @1.4 ","","Tue Dec 02 04:07:46 UTC 2025","passed","Tue Dec 02 04:09:37 UTC 2025","","","",""
"","165183","Restore Sleep Supplement funnel -- @1.12 ","","Tue Dec 02 03:50:06 UTC 2025","passed","Tue Dec 02 03:52:51 UTC 2025","","","",""
"","145826","Restore Sleep Supplement funnel -- @1.10 ","","Tue Dec 02 03:45:12 UTC 2025","passed","Tue Dec 02 03:47:38 UTC 2025","","","",""
"","111007","Restore Detox Supplement funnel -- @1.14 ","","Tue Dec 02 04:25:56 UTC 2025","passed","Tue Dec 02 04:27:47 UTC 2025","","","",""
"","111971","Restore Detox Supplement funnel -- @1.10 ","","Tue Dec 02 04:18:29 UTC 2025","passed","Tue Dec 02 04:20:21 UTC 2025","","","",""
"","111608","Restore Detox Supplement funnel -- @1.13 ","","Tue Dec 02 04:24:05 UTC 2025","passed","Tue Dec 02 04:25:56 UTC 2025","","","",""
"","78339","Restore Detox Supplement funnel -- @1.2 ","","Tue Dec 02 04:04:34 UTC 2025","passed","Tue Dec 02 04:05:53 UTC 2025","","","",""
"","147434","Restore Sleep Supplement funnel -- @1.13 ","","Tue Dec 02 03:52:51 UTC 2025","passed","Tue Dec 02 03:55:19 UTC 2025","","","",""
"","112340","Restore Detox Supplement funnel -- @1.11 ","","Tue Dec 02 04:20:21 UTC 2025","passed","Tue Dec 02 04:22:13 UTC 2025","","","",""
"","113660","Restore Detox Supplement funnel -- @1.7 ","","Tue Dec 02 04:13:23 UTC 2025","passed","Tue Dec 02 04:15:16 UTC 2025","","","",""
"","141837","Restore Sleep Supplement funnel -- @1.2 ","","Tue Dec 02 03:26:11 UTC 2025","passed","Tue Dec 02 03:28:33 UTC 2025","","","",""
"","111550","Restore Detox Supplement funnel -- @1.12 ","","Tue Dec 02 04:22:13 UTC 2025","passed","Tue Dec 02 04:24:05 UTC 2025","","","",""
"","80571","Restore Detox Supplement funnel -- @1.8 ","","Tue Dec 02 04:15:16 UTC 2025","passed","Tue Dec 02 04:16:37 UTC 2025","","","",""
"","148427","Restore Sleep Supplement funnel -- @1.8 ","","Tue Dec 02 03:40:35 UTC 2025","passed","Tue Dec 02 03:43:04 UTC 2025","","","",""
"","128539","Restore Sleep Supplement funnel -- @1.9 ","","Tue Dec 02 03:43:04 UTC 2025","passed","Tue Dec 02 03:45:12 UTC 2025","","","",""
"","147510","Restore Sleep Supplement funnel -- @1.14 ","","Tue Dec 02 03:55:19 UTC 2025","passed","Tue Dec 02 03:57:46 UTC 2025","","","",""
"","112689","Restore Detox Supplement funnel -- @1.15 ","","Tue Dec 02 04:27:47 UTC 2025","passed","Tue Dec 02 04:29:40 UTC 2025","","","",""
"","112802","Restore Detox Supplement funnel -- @1.6 ","","Tue Dec 02 04:11:30 UTC 2025","passed","Tue Dec 02 04:13:23 UTC 2025","","","",""
"","147803","Restore Sleep Supplement funnel -- @1.7 ","","Tue Dec 02 03:38:08 UTC 2025","passed","Tue Dec 02 03:40:35 UTC 2025","","","",""
"","151262","Restore Sleep Supplement funnel -- @1.1 ","","Tue Dec 02 03:23:39 UTC 2025","passed","Tue Dec 02 03:26:11 UTC 2025","","","",""
"","113277","Restore Detox Supplement funnel -- @1.3 ","","Tue Dec 02 04:05:53 UTC 2025","passed","Tue Dec 02 04:07:46 UTC 2025","","","",""
"","148293","Restore Sleep Supplement funnel -- @1.16 ","","Tue Dec 02 04:00:13 UTC 2025","passed","Tue Dec 02 04:02:42 UTC 2025","","","",""
"","154453","Restore Sleep Supplement funnel -- @1.5 ","","Tue Dec 02 03:33:01 UTC 2025","passed","Tue Dec 02 03:35:36 UTC 2025","","","",""
"","152639","Restore Sleep Supplement funnel -- @1.3 ","","Tue Dec 02 03:28:33 UTC 2025","passed","Tue Dec 02 03:31:05 UTC 2025","","","",""
"","115882","Restore Sleep Supplement funnel -- @1.4 ","","Tue Dec 02 03:31:05 UTC 2025","passed","Tue Dec 02 03:33:01 UTC 2025","","","",""
