"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","148741","Restore Sleep Supplement funnel -- @1.3 ","","Thu Dec 04 03:29:33 UTC 2025","passed","Thu Dec 04 03:32:02 UTC 2025","","","",""
"","147388","Restore Sleep Supplement funnel -- @1.14 ","","Thu Dec 04 03:56:00 UTC 2025","passed","Thu Dec 04 03:58:27 UTC 2025","","","",""
"","111501","Restore Detox Supplement funnel -- @1.12 ","","Thu Dec 04 04:22:56 UTC 2025","passed","Thu Dec 04 04:24:48 UTC 2025","","","",""
"","147053","Restore Sleep Supplement funnel -- @1.7 ","","Thu Dec 04 03:39:02 UTC 2025","passed","Thu Dec 04 03:41:29 UTC 2025","","","",""
"","111279","Restore Detox Supplement funnel -- @1.16 ","","Thu Dec 04 04:30:24 UTC 2025","passed","Thu Dec 04 04:32:15 UTC 2025","","","",""
"","117632","Restore Sleep Supplement funnel -- @1.9 ","","Thu Dec 04 03:43:58 UTC 2025","passed","Thu Dec 04 03:45:56 UTC 2025","","","",""
"","111261","Restore Detox Supplement funnel -- @1.14 ","","Thu Dec 04 04:26:39 UTC 2025","passed","Thu Dec 04 04:28:31 UTC 2025","","","",""
"","148069","Restore Sleep Supplement funnel -- @1.15 ","","Thu Dec 04 03:58:27 UTC 2025","passed","Thu Dec 04 04:00:55 UTC 2025","","","",""
"","158174","Restore Sleep Supplement funnel -- @1.10 ","","Thu Dec 04 03:45:56 UTC 2025","passed","Thu Dec 04 03:48:34 UTC 2025","","","",""
"","149673","Restore Sleep Supplement funnel -- @1.12 ","","Thu Dec 04 03:51:03 UTC 2025","passed","Thu Dec 04 03:53:32 UTC 2025","","","",""
"","147651","Restore Sleep Supplement funnel -- @1.13 ","","Thu Dec 04 03:53:32 UTC 2025","passed","Thu Dec 04 03:56:00 UTC 2025","","","",""
"","124040","Restore Sleep Supplement funnel -- @1.4 ","","Thu Dec 04 03:32:02 UTC 2025","passed","Thu Dec 04 03:34:06 UTC 2025","","","",""
"","113206","Restore Detox Supplement funnel -- @1.15 ","","Thu Dec 04 04:28:31 UTC 2025","passed","Thu Dec 04 04:30:24 UTC 2025","","","",""
"","111541","Restore Detox Supplement funnel -- @1.10 ","","Thu Dec 04 04:19:13 UTC 2025","passed","Thu Dec 04 04:21:04 UTC 2025","","","",""
"","113475","Restore Detox Supplement funnel -- @1.6 ","","Thu Dec 04 04:12:13 UTC 2025","passed","Thu Dec 04 04:14:06 UTC 2025","","","",""
"","112950","Restore Detox Supplement funnel -- @1.7 ","","Thu Dec 04 04:14:06 UTC 2025","passed","Thu Dec 04 04:15:59 UTC 2025","","","",""
"","81293","Restore Detox Supplement funnel -- @1.8 ","","Thu Dec 04 04:15:59 UTC 2025","passed","Thu Dec 04 04:17:20 UTC 2025","","","",""
"","147697","Restore Sleep Supplement funnel -- @1.5 ","","Thu Dec 04 03:34:06 UTC 2025","passed","Thu Dec 04 03:36:33 UTC 2025","","","",""
"","113841","Restore Detox Supplement funnel -- @1.3 ","","Thu Dec 04 04:06:37 UTC 2025","passed","Thu Dec 04 04:08:31 UTC 2025","","","",""
"","148807","Restore Sleep Supplement funnel -- @1.6 ","","Thu Dec 04 03:36:33 UTC 2025","passed","Thu Dec 04 03:39:02 UTC 2025","","","",""
"","81328","Restore Detox Supplement funnel -- @1.2 ","","Thu Dec 04 04:05:16 UTC 2025","passed","Thu Dec 04 04:06:37 UTC 2025","","","",""
"","167958","Restore Sleep Supplement funnel -- @1.1 ","","Thu Dec 04 03:24:49 UTC 2025","passed","Thu Dec 04 03:27:37 UTC 2025","","","",""
"","109353","Restore Detox Supplement funnel -- @1.4 ","","Thu Dec 04 04:08:31 UTC 2025","passed","Thu Dec 04 04:10:20 UTC 2025","","","",""
"","112392","Restore Detox Supplement funnel -- @1.9 ","","Thu Dec 04 04:17:20 UTC 2025","passed","Thu Dec 04 04:19:13 UTC 2025","","","",""
"","116325","Restore Sleep Supplement funnel -- @1.2 ","","Thu Dec 04 03:27:37 UTC 2025","passed","Thu Dec 04 03:29:33 UTC 2025","","","",""
"","112398","Restore Detox Supplement funnel -- @1.5 ","","Thu Dec 04 04:10:20 UTC 2025","passed","Thu Dec 04 04:12:13 UTC 2025","","","",""
"","112224","Restore Detox Supplement funnel -- @1.1 ","","Thu Dec 04 04:03:24 UTC 2025","passed","Thu Dec 04 04:05:16 UTC 2025","","","",""
"","80850","Restore Detox Supplement funnel -- @1.17 ","","Thu Dec 04 04:32:15 UTC 2025","passed","Thu Dec 04 04:33:36 UTC 2025","","","",""
"","148549","Restore Sleep Supplement funnel -- @1.11 ","","Thu Dec 04 03:48:34 UTC 2025","passed","Thu Dec 04 03:51:03 UTC 2025","","","",""
"","149055","Restore Sleep Supplement funnel -- @1.8 ","","Thu Dec 04 03:41:29 UTC 2025","passed","Thu Dec 04 03:43:58 UTC 2025","","","",""
"","111928","Restore Detox Supplement funnel -- @1.11 ","","Thu Dec 04 04:21:04 UTC 2025","passed","Thu Dec 04 04:22:56 UTC 2025","","","",""
"","111578","Restore Detox Supplement funnel -- @1.13 ","","Thu Dec 04 04:24:48 UTC 2025","passed","Thu Dec 04 04:26:39 UTC 2025","","","",""
"","147999","Restore Sleep Supplement funnel -- @1.16 ","","Thu Dec 04 04:00:55 UTC 2025","passed","Thu Dec 04 04:03:23 UTC 2025","","","",""
