"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","114856","Restore Detox Supplement funnel -- @1.15 ","","2026-01-21","passed","2026-01-21","","","",""
"","68323","Restore Detox Supplement funnel -- @1.2 ","","2026-01-21","passed","2026-01-21","","","",""
"","115916","Restore Detox Supplement funnel -- @1.11 ","","2026-01-21","passed","2026-01-21","","","",""
"","94005","Restore Detox Supplement funnel -- @1.14 ","","2026-01-21","passed","2026-01-21","","","",""
"","85964","Restore Detox Supplement funnel -- @1.17 ","","2026-01-21","passed","2026-01-21","","","",""
"","115564","Restore Detox Supplement funnel -- @1.8 ","","2026-01-21","failed","2026-01-21","","","",""
"","121025","Restore Detox Supplement funnel -- @1.3 ","","2026-01-21","passed","2026-01-21","","","",""
"","115378","Restore Detox Supplement funnel -- @1.10 ","","2026-01-21","passed","2026-01-21","","","",""
"","111068","Restore Detox Supplement funnel -- @1.4 ","","2026-01-21","passed","2026-01-21","","","",""
"","95985","Restore Detox Supplement funnel -- @1.12 ","","2026-01-21","passed","2026-01-21","","","",""
"","127354","Restore Detox Supplement funnel -- @1.1 ","","2026-01-21","passed","2026-01-21","","","",""
"","143475","Restore Detox Supplement funnel -- @1.5 ","","2026-01-21","failed","2026-01-21","","","",""
"","37840","Restore Detox Supplement funnel -- @1.7 ","","2026-01-21","failed","2026-01-21","","","",""
"","95020","Restore Detox Supplement funnel -- @1.16 ","","2026-01-21","passed","2026-01-21","","","",""
"","116372","Restore Detox Supplement funnel -- @1.13 ","","2026-01-21","passed","2026-01-21","","","",""
"","37839","Restore Detox Supplement funnel -- @1.9 ","","2026-01-21","failed","2026-01-21","","","",""
"","37835","Restore Detox Supplement funnel -- @1.6 ","","2026-01-21","failed","2026-01-21","","","",""
