"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","152147","Restore Sleep Supplement funnel -- @1.6 ","","2026-03-04","passed","2026-03-04","","","",""
"","105382","Restore Sleep Supplement funnel -- @1.2 ","","2026-03-04","passed","2026-03-04","","","",""
"","151813","Restore Sleep Supplement funnel -- @1.14 ","","2026-03-04","passed","2026-03-04","","","",""
"","151068","Restore Sleep Supplement funnel -- @1.3 ","","2026-03-04","passed","2026-03-04","","","",""
"","149929","Restore Sleep Supplement funnel -- @1.7 ","","2026-03-04","passed","2026-03-04","","","",""
"","131021","Restore Sleep Supplement funnel -- @1.15 ","","2026-03-04","passed","2026-03-04","","","",""
"","155418","Restore Sleep Supplement funnel -- @1.12 ","","2026-03-04","passed","2026-03-04","","","",""
"","119825","Restore Sleep Supplement funnel -- @1.9 ","","2026-03-04","passed","2026-03-04","","","",""
"","150819","Restore Sleep Supplement funnel -- @1.8 ","","2026-03-04","passed","2026-03-04","","","",""
"","119701","Restore Sleep Supplement funnel -- @1.4 ","","2026-03-04","passed","2026-03-04","","","",""
"","159521","Restore Sleep Supplement funnel -- @1.1 ","","2026-03-04","passed","2026-03-04","","","",""
"","148979","Restore Sleep Supplement funnel -- @1.16 ","","2026-03-04","passed","2026-03-04","","","",""
"","131866","Restore Sleep Supplement funnel -- @1.10 ","","2026-03-04","passed","2026-03-04","","","",""
"","151688","Restore Sleep Supplement funnel -- @1.11 ","","2026-03-04","passed","2026-03-04","","","",""
"","131971","Restore Sleep Supplement funnel -- @1.5 ","","2026-03-04","passed","2026-03-04","","","",""
"","150975","Restore Sleep Supplement funnel -- @1.13 ","","2026-03-04","passed","2026-03-04","","","",""
