"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","148862","Restore Sleep Supplement funnel -- @1.6 ","","Fri Dec 05 04:30:41 UTC 2025","passed","Fri Dec 05 04:33:10 UTC 2025","","","",""
"","148412","Restore Sleep Supplement funnel -- @1.16 ","","Fri Dec 05 04:55:04 UTC 2025","passed","Fri Dec 05 04:57:32 UTC 2025","","","",""
"","149240","Restore Sleep Supplement funnel -- @1.12 ","","Fri Dec 05 04:45:06 UTC 2025","passed","Fri Dec 05 04:47:35 UTC 2025","","","",""
"","146665","Restore Sleep Supplement funnel -- @1.11 ","","Fri Dec 05 04:42:39 UTC 2025","passed","Fri Dec 05 04:45:06 UTC 2025","","","",""
"","150625","Restore Sleep Supplement funnel -- @1.14 ","","Fri Dec 05 04:50:05 UTC 2025","passed","Fri Dec 05 04:52:35 UTC 2025","","","",""
"","150618","Restore Sleep Supplement funnel -- @1.3 ","","Fri Dec 05 04:23:40 UTC 2025","passed","Fri Dec 05 04:26:11 UTC 2025","","","",""
"","149270","Restore Sleep Supplement funnel -- @1.13 ","","Fri Dec 05 04:47:35 UTC 2025","passed","Fri Dec 05 04:50:05 UTC 2025","","","",""
"","148317","Restore Sleep Supplement funnel -- @1.5 ","","Fri Dec 05 04:28:13 UTC 2025","passed","Fri Dec 05 04:30:41 UTC 2025","","","",""
"","119394","Restore Sleep Supplement funnel -- @1.9 ","","Fri Dec 05 04:38:11 UTC 2025","passed","Fri Dec 05 04:40:10 UTC 2025","","","",""
"","151011","Restore Sleep Supplement funnel -- @1.1 ","","Fri Dec 05 04:19:10 UTC 2025","passed","Fri Dec 05 04:21:41 UTC 2025","","","",""
"","149199","Restore Sleep Supplement funnel -- @1.10 ","","Fri Dec 05 04:40:10 UTC 2025","passed","Fri Dec 05 04:42:39 UTC 2025","","","",""
"","121535","Restore Sleep Supplement funnel -- @1.4 ","","Fri Dec 05 04:26:11 UTC 2025","passed","Fri Dec 05 04:28:13 UTC 2025","","","",""
"","150710","Restore Sleep Supplement funnel -- @1.7 ","","Fri Dec 05 04:33:10 UTC 2025","passed","Fri Dec 05 04:35:40 UTC 2025","","","",""
"","148396","Restore Sleep Supplement funnel -- @1.15 ","","Fri Dec 05 04:52:35 UTC 2025","passed","Fri Dec 05 04:55:04 UTC 2025","","","",""
"","119000","Restore Sleep Supplement funnel -- @1.2 ","","Fri Dec 05 04:21:41 UTC 2025","passed","Fri Dec 05 04:23:40 UTC 2025","","","",""
"","150308","Restore Sleep Supplement funnel -- @1.8 ","","Fri Dec 05 04:35:40 UTC 2025","passed","Fri Dec 05 04:38:11 UTC 2025","","","",""
