"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","139866","Restore Gut Supplement funnel -- @1.8 ","","Fri Oct 24 04:45:36 UTC 2025","passed","Fri Oct 24 04:47:56 UTC 2025","","","",""
"","159917","Restore Gut Supplement funnel -- @1.5 ","","Fri Oct 24 04:38:50 UTC 2025","passed","Fri Oct 24 04:41:30 UTC 2025","","","",""
"","153142","Restore Gut Supplement funnel -- @1.12 ","","Fri Oct 24 04:54:35 UTC 2025","passed","Fri Oct 24 04:57:08 UTC 2025","","","",""
"","131332","Restore Gut Supplement funnel -- @1.2 ","","Fri Oct 24 04:32:24 UTC 2025","passed","Fri Oct 24 04:34:36 UTC 2025","","","",""
"","139344","Restore Vision Supplement funnel -- @1.2 ","","Fri Oct 24 05:08:10 UTC 2025","passed","Fri Oct 24 05:10:29 UTC 2025","","","",""
"","155263","Restore Vision Supplement funnel -- @1.9 ","","Fri Oct 24 05:24:26 UTC 2025","passed","Fri Oct 24 05:27:01 UTC 2025","","","",""
"","140190","Restore Vision Supplement funnel -- @1.4 ","","Fri Oct 24 05:13:14 UTC 2025","passed","Fri Oct 24 05:15:34 UTC 2025","","","",""
"","108923","Restore Gut Supplement funnel -- @1.10 ","","Fri Oct 24 04:50:15 UTC 2025","passed","Fri Oct 24 04:52:03 UTC 2025","","","",""
"","140209","Restore Vision Supplement funnel -- @1.12 ","","Fri Oct 24 05:31:10 UTC 2025","passed","Fri Oct 24 05:33:30 UTC 2025","","","",""
"","141927","Restore Vision Supplement funnel -- @1.14 ","","Fri Oct 24 05:35:47 UTC 2025","passed","Fri Oct 24 05:38:09 UTC 2025","","","",""
"","142639","Restore Gut Supplement funnel -- @1.14 ","","Fri Oct 24 04:59:25 UTC 2025","passed","Fri Oct 24 05:01:47 UTC 2025","","","",""
"","138531","Restore Gut Supplement funnel -- @1.9 ","","Fri Oct 24 04:47:56 UTC 2025","passed","Fri Oct 24 04:50:15 UTC 2025","","","",""
"","141927","Restore Vision Supplement funnel -- @1.11 ","","Fri Oct 24 05:28:48 UTC 2025","passed","Fri Oct 24 05:31:10 UTC 2025","","","",""
"","110734","Restore Gut Supplement funnel -- @1.6 ","","Fri Oct 24 04:41:30 UTC 2025","passed","Fri Oct 24 04:43:21 UTC 2025","","","",""
"","140710","Restore Vision Supplement funnel -- @1.5 ","","Fri Oct 24 05:15:34 UTC 2025","passed","Fri Oct 24 05:17:55 UTC 2025","","","",""
"","144345","Restore Vision Supplement funnel -- @1.7 ","","Fri Oct 24 05:19:45 UTC 2025","passed","Fri Oct 24 05:22:10 UTC 2025","","","",""
"","132533","Restore Gut Supplement funnel -- @1.3 ","","Fri Oct 24 04:34:36 UTC 2025","passed","Fri Oct 24 04:36:48 UTC 2025","","","",""
"","152588","Restore Vision Supplement funnel -- @1.16 ","","Fri Oct 24 05:40:28 UTC 2025","passed","Fri Oct 24 05:43:00 UTC 2025","","","",""
"","136153","Restore Vision Supplement funnel -- @1.8 ","","Fri Oct 24 05:22:10 UTC 2025","passed","Fri Oct 24 05:24:26 UTC 2025","","","",""
"","138379","Restore Vision Supplement funnel -- @1.15 ","","Fri Oct 24 05:38:09 UTC 2025","passed","Fri Oct 24 05:40:28 UTC 2025","","","",""
"","121963","Restore Gut Supplement funnel -- @1.4 ","","Fri Oct 24 04:36:48 UTC 2025","failed","Fri Oct 24 04:38:50 UTC 2025","","","",""
"","151772","Restore Gut Supplement funnel -- @1.11 ","","Fri Oct 24 04:52:03 UTC 2025","passed","Fri Oct 24 04:54:35 UTC 2025","","","",""
"","104441","Restore Vision Supplement funnel -- @1.1 ","","Fri Oct 24 05:06:26 UTC 2025","passed","Fri Oct 24 05:08:10 UTC 2025","","","",""
"","136446","Restore Gut Supplement funnel -- @1.13 ","","Fri Oct 24 04:57:08 UTC 2025","passed","Fri Oct 24 04:59:25 UTC 2025","","","",""
"","137593","Restore Vision Supplement funnel -- @1.13 ","","Fri Oct 24 05:33:30 UTC 2025","passed","Fri Oct 24 05:35:47 UTC 2025","","","",""
"","135992","Restore Gut Supplement funnel -- @1.15 ","","Fri Oct 24 05:01:47 UTC 2025","passed","Fri Oct 24 05:04:03 UTC 2025","","","",""
"","142141","Restore Gut Supplement funnel -- @1.16 ","","Fri Oct 24 05:04:03 UTC 2025","passed","Fri Oct 24 05:06:26 UTC 2025","","","",""
"","106772","Restore Vision Supplement funnel -- @1.10 ","","Fri Oct 24 05:27:01 UTC 2025","passed","Fri Oct 24 05:28:48 UTC 2025","","","",""
"","164241","Restore Vision Supplement funnel -- @1.3 ","","Fri Oct 24 05:10:29 UTC 2025","passed","Fri Oct 24 05:13:14 UTC 2025","","","",""
"","110674","Restore Vision Supplement funnel -- @1.6 ","","Fri Oct 24 05:17:55 UTC 2025","passed","Fri Oct 24 05:19:45 UTC 2025","","","",""
"","135201","Restore Gut Supplement funnel -- @1.7 ","","Fri Oct 24 04:43:21 UTC 2025","passed","Fri Oct 24 04:45:36 UTC 2025","","","",""
"","125693","Restore Gut Supplement funnel -- @1.1 ","","Fri Oct 24 04:30:19 UTC 2025","passed","Fri Oct 24 04:32:24 UTC 2025","","","",""
