"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","134468","Restore Gut Supplement funnel -- @1.3 ","","Thu Oct 23 04:35:00 UTC 2025","passed","Thu Oct 23 04:37:14 UTC 2025","","","",""
"","144937","Restore Vision Supplement funnel -- @1.9 ","","Thu Oct 23 05:21:46 UTC 2025","passed","Thu Oct 23 05:24:11 UTC 2025","","","",""
"","113292","Restore Vision Supplement funnel -- @1.10 ","","Thu Oct 23 05:24:11 UTC 2025","passed","Thu Oct 23 05:26:04 UTC 2025","","","",""
"","142575","Restore Vision Supplement funnel -- @1.12 ","","Thu Oct 23 05:28:17 UTC 2025","passed","Thu Oct 23 05:30:40 UTC 2025","","","",""
"","156071","Restore Gut Supplement funnel -- @1.16 ","","Thu Oct 23 05:03:38 UTC 2025","passed","Thu Oct 23 05:06:14 UTC 2025","","","",""
"","138705","Restore Vision Supplement funnel -- @1.7 ","","Thu Oct 23 05:19:17 UTC 2025","passed","Thu Oct 23 05:21:36 UTC 2025","","","",""
"","101526","Restore Gut Supplement funnel -- @1.6 ","","Thu Oct 23 04:42:00 UTC 2025","passed","Thu Oct 23 04:43:41 UTC 2025","","","",""
"","9905","Restore Vision Supplement funnel -- @1.8 ","","Thu Oct 23 05:21:36 UTC 2025","failed","Thu Oct 23 05:21:46 UTC 2025","","","",""
"","135197","Restore Gut Supplement funnel -- @1.9 ","","Thu Oct 23 04:48:13 UTC 2025","passed","Thu Oct 23 04:50:28 UTC 2025","","","",""
"","131639","Restore Vision Supplement funnel -- @1.16 ","","Thu Oct 23 05:37:34 UTC 2025","passed","Thu Oct 23 05:39:46 UTC 2025","","","",""
"","142803","Restore Gut Supplement funnel -- @1.12 ","","Thu Oct 23 04:54:28 UTC 2025","passed","Thu Oct 23 04:56:50 UTC 2025","","","",""
"","101211","Restore Vision Supplement funnel -- @1.6 ","","Thu Oct 23 05:17:36 UTC 2025","passed","Thu Oct 23 05:19:17 UTC 2025","","","",""
"","132324","Restore Gut Supplement funnel -- @1.11 ","","Thu Oct 23 04:52:15 UTC 2025","passed","Thu Oct 23 04:54:28 UTC 2025","","","",""
"","106717","Restore Gut Supplement funnel -- @1.10 ","","Thu Oct 23 04:50:28 UTC 2025","passed","Thu Oct 23 04:52:15 UTC 2025","","","",""
"","142086","Restore Vision Supplement funnel -- @1.13 ","","Thu Oct 23 05:30:40 UTC 2025","passed","Thu Oct 23 05:33:02 UTC 2025","","","",""
"","154908","Restore Gut Supplement funnel -- @1.5 ","","Thu Oct 23 04:39:25 UTC 2025","passed","Thu Oct 23 04:42:00 UTC 2025","","","",""
"","138616","Restore Gut Supplement funnel -- @1.15 ","","Thu Oct 23 05:01:20 UTC 2025","passed","Thu Oct 23 05:03:38 UTC 2025","","","",""
"","132026","Restore Gut Supplement funnel -- @1.13 ","","Thu Oct 23 04:56:50 UTC 2025","passed","Thu Oct 23 04:59:02 UTC 2025","","","",""
"","131035","Restore Gut Supplement funnel -- @1.2 ","","Thu Oct 23 04:32:49 UTC 2025","passed","Thu Oct 23 04:35:00 UTC 2025","","","",""
"","137420","Restore Gut Supplement funnel -- @1.14 ","","Thu Oct 23 04:59:02 UTC 2025","passed","Thu Oct 23 05:01:20 UTC 2025","","","",""
"","157637","Restore Vision Supplement funnel -- @1.4 ","","Thu Oct 23 05:12:39 UTC 2025","passed","Thu Oct 23 05:15:17 UTC 2025","","","",""
"","130709","Restore Gut Supplement funnel -- @1.4 ","","Thu Oct 23 04:37:14 UTC 2025","passed","Thu Oct 23 04:39:25 UTC 2025","","","",""
"","120802","Restore Gut Supplement funnel -- @1.1 ","","Thu Oct 23 04:30:48 UTC 2025","passed","Thu Oct 23 04:32:49 UTC 2025","","","",""
"","139203","Restore Vision Supplement funnel -- @1.5 ","","Thu Oct 23 05:15:17 UTC 2025","passed","Thu Oct 23 05:17:36 UTC 2025","","","",""
"","137161","Restore Vision Supplement funnel -- @1.15 ","","Thu Oct 23 05:35:17 UTC 2025","passed","Thu Oct 23 05:37:34 UTC 2025","","","",""
"","134554","Restore Gut Supplement funnel -- @1.7 ","","Thu Oct 23 04:43:41 UTC 2025","passed","Thu Oct 23 04:45:56 UTC 2025","","","",""
"","135843","Restore Vision Supplement funnel -- @1.2 ","","Thu Oct 23 05:07:58 UTC 2025","passed","Thu Oct 23 05:10:14 UTC 2025","","","",""
"","137321","Restore Gut Supplement funnel -- @1.8 ","","Thu Oct 23 04:45:56 UTC 2025","passed","Thu Oct 23 04:48:13 UTC 2025","","","",""
"","145658","Restore Vision Supplement funnel -- @1.3 ","","Thu Oct 23 05:10:14 UTC 2025","passed","Thu Oct 23 05:12:39 UTC 2025","","","",""
"","135483","Restore Vision Supplement funnel -- @1.14 ","","Thu Oct 23 05:33:02 UTC 2025","passed","Thu Oct 23 05:35:17 UTC 2025","","","",""
"","103269","Restore Vision Supplement funnel -- @1.1 ","","Thu Oct 23 05:06:14 UTC 2025","passed","Thu Oct 23 05:07:58 UTC 2025","","","",""
"","132889","Restore Vision Supplement funnel -- @1.11 ","","Thu Oct 23 05:26:04 UTC 2025","passed","Thu Oct 23 05:28:17 UTC 2025","","","",""
