"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","132798","TF Evergreen funnel -- @1.13 ","","2026-04-14","passed","2026-04-14","","","",""
"","132672","TF Evergreen funnel -- @1.6 ","","2026-04-14","passed","2026-04-14","","","",""
"","136217","TF Evergreen funnel -- @1.5 ","","2026-04-14","passed","2026-04-14","","","",""
"","179099","TF Evergreen funnel -- @1.12 ","","2026-04-14","passed","2026-04-14","","","",""
"","147106","TF Evergreen funnel -- @1.22 ","","2026-04-14","passed","2026-04-14","","","",""
"","149602","TF Evergreen funnel -- @1.2 ","","2026-04-14","passed","2026-04-14","","","",""
"","175540","TF Evergreen funnel -- @1.10 ","","2026-04-14","passed","2026-04-14","","","",""
"","114051","TF Evergreen funnel -- @1.8 ","","2026-04-14","passed","2026-04-14","","","",""
"","134685","TF Evergreen funnel -- @1.11 ","","2026-04-14","passed","2026-04-14","","","",""
"","147442","TF Evergreen funnel -- @1.3 ","","2026-04-14","passed","2026-04-14","","","",""
"","77555","TF Evergreen funnel -- @1.4 ","","2026-04-14","failed","2026-04-14","","","",""
"","71699","TF Evergreen funnel -- @1.18 ","","2026-04-14","passed","2026-04-14","","","",""
"","101392","TF Evergreen funnel -- @1.21 ","","2026-04-14","passed","2026-04-14","","","",""
"","168336","TF Evergreen funnel -- @1.1 ","","2026-04-14","passed","2026-04-14","","","",""
"","123415","TF Evergreen funnel -- @1.17 ","","2026-04-14","passed","2026-04-14","","","",""
"","136852","TF Evergreen funnel -- @1.9 ","","2026-04-14","passed","2026-04-14","","","",""
"","128527","TF Evergreen funnel -- @1.7 ","","2026-04-14","passed","2026-04-14","","","",""
"","146610","TF Evergreen funnel -- @1.20 ","","2026-04-14","passed","2026-04-14","","","",""
"","179928","TF Evergreen funnel -- @1.14 ","","2026-04-14","passed","2026-04-14","","","",""
"","163382","TF Evergreen funnel -- @1.19 ","","2026-04-14","passed","2026-04-14","","","",""
"","177499","TF Evergreen funnel -- @1.15 ","","2026-04-14","passed","2026-04-14","","","",""
"","105950","TF Evergreen funnel -- @1.23 ","","2026-04-14","passed","2026-04-14","","","",""
"","146701","TF Evergreen funnel -- @1.16 ","","2026-04-14","passed","2026-04-14","","","",""
