"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","173092","TF Evergreen funnel -- @1.15 ","","2026-03-15","passed","2026-03-15","","","",""
"","173295","TF Evergreen funnel -- @1.12 ","","2026-03-15","passed","2026-03-15","","","",""
"","134539","TF Evergreen funnel -- @1.6 ","","2026-03-15","passed","2026-03-15","","","",""
"","68749","TF Evergreen funnel -- @1.18 ","","2026-03-15","passed","2026-03-15","","","",""
"","109801","TF Evergreen funnel -- @1.8 ","","2026-03-15","passed","2026-03-15","","","",""
"","142874","TF Evergreen funnel -- @1.2 ","","2026-03-15","passed","2026-03-15","","","",""
"","103754","TF Evergreen funnel -- @1.21 ","","2026-03-15","passed","2026-03-15","","","",""
"","155074","TF Evergreen funnel -- @1.16 ","","2026-03-15","passed","2026-03-15","","","",""
"","100741","TF Evergreen funnel -- @1.23 ","","2026-03-15","passed","2026-03-15","","","",""
"","134290","TF Evergreen funnel -- @1.5 ","","2026-03-15","passed","2026-03-15","","","",""
"","180213","TF Evergreen funnel -- @1.14 ","","2026-03-15","passed","2026-03-15","","","",""
"","128172","TF Evergreen funnel -- @1.7 ","","2026-03-15","passed","2026-03-15","","","",""
"","148030","TF Evergreen funnel -- @1.22 ","","2026-03-15","passed","2026-03-15","","","",""
"","108868","TF Evergreen funnel -- @1.17 ","","2026-03-15","passed","2026-03-15","","","",""
"","172453","TF Evergreen funnel -- @1.10 ","","2026-03-15","passed","2026-03-15","","","",""
"","147015","TF Evergreen funnel -- @1.3 ","","2026-03-15","passed","2026-03-15","","","",""
"","163397","TF Evergreen funnel -- @1.19 ","","2026-03-15","passed","2026-03-15","","","",""
"","136312","TF Evergreen funnel -- @1.9 ","","2026-03-15","passed","2026-03-15","","","",""
"","142305","TF Evergreen funnel -- @1.4 ","","2026-03-15","passed","2026-03-15","","","",""
"","135059","TF Evergreen funnel -- @1.13 ","","2026-03-15","passed","2026-03-15","","","",""
"","162502","TF Evergreen funnel -- @1.1 ","","2026-03-15","passed","2026-03-15","","","",""
"","133579","TF Evergreen funnel -- @1.11 ","","2026-03-15","passed","2026-03-15","","","",""
"","138015","TF Evergreen funnel -- @1.20 ","","2026-03-15","passed","2026-03-15","","","",""
