"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","163951","IS Evergreen funnel -- @1.19 ","","Thu Dec 04 02:31:17 UTC 2025","passed","Thu Dec 04 02:34:01 UTC 2025","","","",""
"","133509","IS Evergreen funnel -- @1.6 ","","Thu Dec 04 02:00:51 UTC 2025","passed","Thu Dec 04 02:03:05 UTC 2025","","","",""
"","142051","IS Evergreen funnel -- @1.2 ","","Thu Dec 04 01:51:31 UTC 2025","passed","Thu Dec 04 01:53:53 UTC 2025","","","",""
"","65456","TF Evergreen funnel -- @1.18 ","","Thu Dec 04 03:22:21 UTC 2025","passed","Thu Dec 04 03:23:27 UTC 2025","","","",""
"","171733","IS Evergreen funnel -- @1.15 ","","Thu Dec 04 02:23:04 UTC 2025","passed","Thu Dec 04 02:25:56 UTC 2025","","","",""
"","145272","IS Evergreen funnel -- @1.7 ","","Thu Dec 04 02:03:05 UTC 2025","passed","Thu Dec 04 02:05:30 UTC 2025","","","",""
"","137805","TF Evergreen funnel -- @1.20 ","","Thu Dec 04 03:26:08 UTC 2025","passed","Thu Dec 04 03:28:25 UTC 2025","","","",""
"","129700","TF Evergreen funnel -- @1.13 ","","Thu Dec 04 03:10:19 UTC 2025","passed","Thu Dec 04 03:12:29 UTC 2025","","","",""
"","139100","TF Evergreen funnel -- @1.4 ","","Thu Dec 04 02:49:30 UTC 2025","passed","Thu Dec 04 02:51:50 UTC 2025","","","",""
"","127653","TF Evergreen funnel -- @1.7 ","","Thu Dec 04 02:56:12 UTC 2025","passed","Thu Dec 04 02:58:19 UTC 2025","","","",""
"","97350","TF Evergreen funnel -- @1.23 ","","Thu Dec 04 03:32:30 UTC 2025","passed","Thu Dec 04 03:34:08 UTC 2025","","","",""
"","141579","TF Evergreen funnel -- @1.2 ","","Thu Dec 04 02:44:47 UTC 2025","passed","Thu Dec 04 02:47:08 UTC 2025","","","",""
"","131458","TF Evergreen funnel -- @1.5 ","","Thu Dec 04 02:51:50 UTC 2025","passed","Thu Dec 04 02:54:01 UTC 2025","","","",""
"","131090","TF Evergreen funnel -- @1.11 ","","Thu Dec 04 03:05:15 UTC 2025","passed","Thu Dec 04 03:07:26 UTC 2025","","","",""
"","160319","TF Evergreen funnel -- @1.1 ","","Thu Dec 04 02:42:07 UTC 2025","passed","Thu Dec 04 02:44:47 UTC 2025","","","",""
"","100281","IS Evergreen funnel -- @1.23 ","","Thu Dec 04 02:40:26 UTC 2025","passed","Thu Dec 04 02:42:07 UTC 2025","","","",""
"","136482","IS Evergreen funnel -- @1.11 ","","Thu Dec 04 02:12:47 UTC 2025","passed","Thu Dec 04 02:15:03 UTC 2025","","","",""
"","144518","IS Evergreen funnel -- @1.22 ","","Thu Dec 04 02:38:02 UTC 2025","passed","Thu Dec 04 02:40:26 UTC 2025","","","",""
"","171624","TF Evergreen funnel -- @1.15 ","","Thu Dec 04 03:15:20 UTC 2025","passed","Thu Dec 04 03:18:11 UTC 2025","","","",""
"","169867","TF Evergreen funnel -- @1.10 ","","Thu Dec 04 03:02:25 UTC 2025","passed","Thu Dec 04 03:05:14 UTC 2025","","","",""
"","145632","TF Evergreen funnel -- @1.22 ","","Thu Dec 04 03:30:05 UTC 2025","passed","Thu Dec 04 03:32:30 UTC 2025","","","",""
